,Trial,Experimental Homogeneous Hashtag,Centola Homogeneous Hashtag,CAA Homogeneous Hashtag,Experimental Spatial Hashtag,Centola Spatial Hashtag,CAA Spatial Hashtag,Experimental Homogeneous Face,Centola Homogeneous Face,CAA Homogeneous Face,Experimental Spatial Face,Centola Spatial Face,CAA Spatial Face
1,1,0.759517788133792,0.9629686191720944,0.7937800282823412,0.7784116921120781,0.9634611220815741,0.7995941786327468,0.8968784918139535,0.9617163585418639,0.8992585357223226,0.9200126674719048,0.9617440107401215,0.8941182489856447
2,2,0.7641287201528737,0.9627759056651066,0.7919790241199717,0.780197873885942,0.9666385533277391,0.7891604557016856,0.8587229412092497,0.9626059779713403,0.8593376774968611,0.8566546669029246,0.963131070617512,0.8612126812865462
3,3,0.7500884105847706,0.8902156833703699,0.7861087906975408,0.8192904273944891,0.8895555998169732,0.7882231058127972,0.8539577498556246,0.8928134456742239,0.8276621403566459,0.848658701335899,0.8897144034374952,0.833852802744996
4,4,0.7953476308765687,0.8342674965534609,0.780775801274179,0.8244646362463346,0.8316393703594447,0.7857824418650177,0.8530324527077747,0.8408530763277345,0.8048469634717699,0.8277522196634027,0.8407444301373542,0.8092775772066405
5,5,0.8237733908082646,0.7949266003264316,0.7813137344951513,0.821138196399594,0.7927514599646505,0.7775137708841823,0.8300614757524026,0.796030358953778,0.7771525414141045,0.8136863754874059,0.798307803900676,0.782994670238837
6,6,0.8150641280322025,0.7665447327471394,0.7664251940886566,0.8183840122230019,0.7543970075882743,0.7717053652834405,0.8096914669462295,0.7701521663537855,0.7602985043062063,0.7636840858828831,0.766207583864469,0.7593232991926322
7,7,0.8010824790388448,0.7403002250882595,0.7618984632381125,0.8133819861847547,0.7274948627254828,0.7683164928536192,0.8027141825317963,0.7466528230572905,0.7384256327378155,0.7423378470126694,0.7315385086181254,0.7427747097039685
8,8,0.790843126704727,0.7232669551860549,0.7611296164298849,0.811525671005264,0.6903474956835445,0.7590919726367553,0.7907257878681057,0.7226289986483131,0.7152880452729009,0.716760529638999,0.6996990972783305,0.7220127958167463
9,9,0.7733567105178561,0.6961826879133929,0.755084072519923,0.820797529906021,0.663994612310887,0.7487741377108725,0.7766403232690511,0.693597041564467,0.6970367645371484,0.7001482784347121,0.6664722256123359,0.7052184486094447
10,10,0.7709255787451672,0.6655881485798878,0.7462533005320111,0.8260378823677307,0.6377112363955583,0.7398771449801846,0.7091304135915091,0.6677290461612673,0.6820249889831017,0.6715206466965357,0.6413762591692682,0.6889932596989259
11,11,0.7833801215348004,0.6422269112810554,0.7369363465375471,0.8012243607829047,0.6114456400346833,0.7310078156997109,0.7058550542378694,0.6396864200317749,0.6655771191869624,0.688452288001537,0.6191098868198874,0.671758309071569
12,12,0.7666126594421457,0.610345356467834,0.7335309813180219,0.7931646732813971,0.5881565344884231,0.7243849874354751,0.7101771714625874,0.6143498888429536,0.6496853623853177,0.6784134633057937,0.5966230429758466,0.6561858998769766
