,id,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,DecisionType,Cumulative Points
0,1,name,1,sarah,2.0,0.0,nan,40,,susan,BN,0.0
1,1,name,2,susan,25.0,0.0,sarah,38,susan,amanda,RP,0.0
2,1,name,3,katie,11.0,0.0,susan,30,amanda,emma,BN,0.0
3,1,name,4,melissa,14.0,0.0,katie,50,emma,jessica,BN,0.0
4,1,name,5,elizabeth,5.0,0.0,melissa,26,jessica,mila,BN,0.0
5,1,name,6,megan,11.0,0.0,elizabeth,21,mila,emily,BN,0.0
6,1,name,7,miley,13.0,0.0,megan,14,emily,sarah,BN,0.0
7,1,name,8,beth,11.0,0.0,miley,33,sarah,tanya,BN,0.0
8,1,name,9,kate,15.0,0.0,beth,47,tanya,angela,BN,0.0
9,1,name,10,amy,21.0,0.0,kate,20,angela,linda,BN,0.0
10,1,name,11,amy,5.0,0.0,amy,43,linda,sarah,RS,0.0
11,1,name,12,sarah,20.0,0.0,amy,30,sarah,katie,RP,0.0
12,1,name,13,emma,20.0,0.0,sarah,29,katie,tara,EC,0.0
13,1,name,14,megan,1.0,0.0,emma,42,tara,sam,EC,0.0
14,1,name,15,sandy,4.0,0.0,megan,47,sam,emily,BN,0.0
15,1,name,16,alison,22.0,0.0,sandy,29,emily,karen,BN,0.0
16,1,name,17,sarah,18.0,0.0,alison,10,karen,ellie,EC,0.0
17,1,name,18,emily,16.0,0.0,sarah,13,ellie,jessica,EC,0.0
18,1,name,19,aria,19.0,0.0,emily,6,jessica,jennifer,BN,0.0
19,1,name,20,tabatha,19.0,0.0,aria,10,jennifer,ellie,BN,0.0
20,1,name,21,angela,16.0,0.0,tabatha,44,ellie,sarah,EC,0.0
21,1,name,22,hannah,14.0,0.0,angela,8,sarah,lauren,BN,0.0
22,1,name,23,amy,7.0,0.0,hannah,10,lauren,ellie,EC,0.0
23,1,name,24,ellie,18.0,0.0,amy,46,ellie,tammy,RP,0.0
24,1,name,25,sammy,25.0,0.0,ellie,44,tammy,sarah,BN,0.0
25,1,name,26,sarah,14.0,0.0,sammy,4,sarah,kathy,RP,0.0
26,1,name,27,olivia,3.0,0.0,sarah,13,kathy,sarah,BN,0.0
27,1,name,28,harper,20.0,0.0,olivia,34,sarah,sam,BN,0.0
28,1,name,29,debbie,14.0,0.0,harper,10,sam,ellie,BN,0.0
29,1,name,30,madison,20.0,0.0,debbie,15,ellie,sarah,BN,0.0
30,1,name,31,haley,17.0,0.0,madison,2,sarah,sarah,BN,0.0
31,1,name,32,sarah,16.0,1.0,haley,17,sarah,sarah,RP,1.0
32,1,name,33,sarah,23.0,1.0,sarah,28,sarah,sarah,RS,2.0
33,1,name,34,sarah,25.0,1.0,sarah,11,sarah,sarah,RS,3.0
34,1,name,35,sarah,23.0,1.0,sarah,11,sarah,sarah,RS,4.0
35,1,name,36,sarah,20.0,0.0,sarah,39,sarah,ellie,RP,4.0
36,1,name,37,sarah,9.0,1.0,sarah,47,ellie,sarah,RS,5.0
37,1,name,38,sarah,1.0,1.0,sarah,3,sarah,sarah,RP,6.0
38,1,name,39,sarah,7.0,1.0,sarah,45,sarah,sarah,RS,7.0
39,1,name,40,sarah,21.0,1.0,sarah,3,sarah,sarah,RP,8.0
40,2,name,1,jane,12.0,0.0,nan,15,,sam,BN,0.0
41,2,name,2,sam,23.0,0.0,jane,44,sam,amanda,RP,0.0
42,2,name,3,jane,23.0,0.0,sam,24,amanda,sarah,EC,0.0
43,2,name,4,sarah,4.0,0.0,jane,42,sarah,amy,RP,0.0
44,2,name,5,jane,1.0,0.0,sarah,24,amy,sarah,EC,0.0
45,2,name,6,sarah,17.0,0.0,jane,16,sarah,tina,RP,0.0
46,2,name,7,sarah,25.0,0.0,sarah,45,tina,sam,RS,0.0
47,2,name,8,sarah,9.0,0.0,sarah,15,sam,ann,RS,0.0
48,2,name,9,sarah,3.0,0.0,sarah,21,ann,emily,RS,0.0
49,2,name,10,sarah,17.0,0.0,sarah,44,emily,teresa,RS,0.0
50,2,name,11,sam,18.0,0.0,sarah,25,teresa,sarah,EC,0.0
51,2,name,12,sarah,21.0,0.0,sam,40,sarah,frankie,RP,0.0
52,2,name,13,sarah,11.0,0.0,sarah,15,frankie,nora,RS,0.0
53,2,name,14,sarah,9.0,0.0,sarah,37,nora,amelia,RS,0.0
54,2,name,15,sarah,14.0,0.0,sarah,44,amelia,tanya,RS,0.0
55,2,name,16,sarah,19.0,1.0,sarah,44,tanya,sarah,RS,1.0
56,2,name,17,sarah,22.0,0.0,sarah,29,sarah,alicia,RS,1.0
57,2,name,18,sarah,11.0,0.0,sarah,34,alicia,sam,RS,1.0
58,2,name,19,sarah,12.0,1.0,sarah,44,sam,sarah,RS,2.0
59,2,name,20,sarah,17.0,0.0,sarah,38,sarah,jessica,RS,2.0
60,2,name,21,sarah,22.0,1.0,sarah,28,jessica,sarah,RS,3.0
61,2,name,22,sarah,12.0,0.0,sarah,16,sarah,trina,RS,3.0
62,2,name,23,sarah,6.0,1.0,sarah,36,trina,sarah,RS,4.0
63,2,name,24,sarah,25.0,1.0,sarah,45,sarah,sarah,RP,5.0
64,2,name,25,sarah,19.0,0.0,sarah,7,sarah,sara,RS,5.0
65,2,name,26,sarah,21.0,1.0,sarah,25,sara,sarah,RS,6.0
66,2,name,27,sarah,2.0,0.0,sarah,34,sarah,sam,RP,6.0
67,2,name,28,sarah,9.0,0.0,sarah,40,sam,vickie,RS,6.0
68,2,name,29,sarah,10.0,1.0,sarah,7,vickie,sarah,RS,7.0
69,2,name,30,sarah,7.0,1.0,sarah,3,sarah,sarah,RS,8.0
70,2,name,31,sarah,17.0,0.0,sarah,1,sarah,haley,RP,8.0
71,2,name,32,sarah,14.0,1.0,sarah,43,haley,sarah,RS,9.0
72,2,name,33,sarah,7.0,1.0,sarah,15,sarah,sarah,RS,10.0
73,2,name,34,sarah,8.0,1.0,sarah,45,sarah,sarah,RP,11.0
74,2,name,35,sarah,2.0,0.0,sarah,16,sarah,alex,RP,11.0
75,2,name,36,sarah,12.0,1.0,sarah,45,alex,sarah,RS,12.0
76,2,name,37,sarah,8.0,0.0,sarah,20,sarah,martha,RP,12.0
77,2,name,38,sarah,13.0,1.0,sarah,46,martha,sarah,RS,13.0
78,2,name,39,sarah,22.0,0.0,sarah,49,sarah,kendall,RP,13.0
79,2,name,40,sarah,8.0,1.0,sarah,46,kendall,sarah,RS,14.0
