,id,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,DecisionType,Cumulative Points
0,1,hashtag,1,stopnuclearpower,5,0.0,nan,19.0,,saveenergy,BN,0.0
1,1,hashtag,2,endnuclear,8,0.0,stopnuclearpower,19.0,saveenergy,saveenergy,BN,0.0
2,1,hashtag,3,saveenergy,9,1.0,endnuclear,19.0,saveenergy,saveenergy,RP,1.0
3,1,hashtag,4,saveenergy,9,0.0,saveenergy,3.0,saveenergy,radiation,RS,1.0
4,1,hashtag,5,radiation,1,0.0,saveenergy,2.0,radiation,electricity,RP,1.0
5,1,hashtag,6,radiation,3,0.0,radiation,19.0,electricity,saveenergy,RS,1.0
6,1,hashtag,7,radiation,6,0.0,radiation,19.0,saveenergy,nucleardisaster,RS,1.0
7,1,hashtag,8,radiation,5,1.0,radiation,19.0,nucleardisaster,radiation,RS,2.0
8,1,hashtag,9,nucleardisaster,10,0.0,radiation,2.0,radiation,irradation,EC,2.0
9,1,hashtag,10,nucleardisaster,9,0.0,nucleardisaster,20.0,irradation,tsunami,RS,2.0
10,1,hashtag,11,tsunami,3,0.0,nucleardisaster,19.0,tsunami,saveenergy,RP,2.0
11,1,hashtag,12,naturaldisaster,7,0.0,tsunami,19.0,saveenergy,tsunami,BN,2.0
12,1,hashtag,13,tsunami,9,0.0,naturaldisaster,19.0,tsunami,naturaldisaster,RP,2.0
13,1,hashtag,14,tsunami,8,0.0,tsunami,2.0,naturaldisaster,earthquake,RS,2.0
14,1,hashtag,15,tsunami,10,0.0,tsunami,3.0,earthquake,disaster,RS,2.0
15,1,hashtag,16,tsunami,5,1.0,tsunami,19.0,disaster,tsunami,RS,3.0
16,1,hashtag,17,disaster,6,0.0,tsunami,19.0,tsunami,tsunami,EC,3.0
17,1,hashtag,18,disaster,5,0.0,disaster,3.0,tsunami,emergency,RS,3.0
18,1,hashtag,19,emergency,3,0.0,disaster,2.0,emergency,earthquake,RP,3.0
19,1,hashtag,20,earthquake,8,0.0,emergency,2.0,earthquake,safety,RP,3.0
20,1,hashtag,21,earthquake,9,0.0,earthquake,19.0,safety,nucleardisaster,RS,3.0
21,1,hashtag,22,nucleardisaster,8,0.0,earthquake,2.0,nucleardisaster,earthquaeke,RP,3.0
22,1,hashtag,23,earthquake,9,0.0,nucleardisaster,19.0,earthquaeke,tsunami,EC,3.0
23,1,hashtag,24,tsunami,6,0.0,earthquake,2.0,tsunami,nuclear,RP,3.0
24,1,hashtag,25,tsunami,8,1.0,tsunami,19.0,nuclear,tsunami,RS,4.0
25,1,hashtag,26,earthquake,8,0.0,tsunami,19.0,tsunami,tsunami,EC,4.0
26,1,hashtag,27,tsunami,4,1.0,earthquake,19.0,tsunami,tsunami,RP,5.0
27,1,hashtag,28,tsunami,3,0.0,tsunami,2.0,tsunami,cancer,RP,5.0
28,1,hashtag,29,cancer,5,0.0,tsunami,3.0,cancer,tsunami,RP,5.0
29,1,hashtag,30,tsunami,4,0.0,cancer,19.0,tsunami,nucleardisaster,RP,5.0
30,1,hashtag,31,nucleardisaster,8,0.0,tsunami,3.0,nucleardisaster,energy,RP,5.0
31,1,hashtag,32,energy,3,1.0,nucleardisaster,3.0,energy,energy,RP,6.0
32,1,hashtag,33,tsunami,1,0.0,energy,20.0,energy,nucleardisaster,EC,6.0
33,1,hashtag,34,nucleardisaster,2,0.0,tsunami,19.0,nucleardisaster,tsunami,RP,6.0
34,1,hashtag,35,tsunami,2,1.0,nucleardisaster,19.0,tsunami,tsunami,RP,7.0
35,1,hashtag,36,tsunami,2,0.0,tsunami,3.0,tsunami,earthquake,RP,7.0
36,1,hashtag,37,earthquke,3,0.0,tsunami,19.0,earthquake,nucleardisaster,BN,7.0
37,1,hashtag,38,nucleardisaster,6,0.0,earthquke,19.0,nucleardisaster,tsunami,RP,7.0
38,1,hashtag,39,tsunami,10,0.0,nucleardisaster,20.0,tsunami,nucleardisaster,RP,7.0
39,1,hashtag,40,tsunami,7,0.0,tsunami,2.0,nucleardisaster,radiation,RS,7.0
40,2,hashtag,1,publichealth,6,0.0,nan,4.0,,nuclear,BN,0.0
41,2,hashtag,2,safety,9,0.0,publichealth,3.0,nuclear,earthquake,BN,0.0
42,2,hashtag,3,radiation,10,0.0,safety,20.0,earthquake,japansaveelectricity,BN,0.0
43,2,hashtag,4,tsunami,8,0.0,radiation,20.0,japansaveelectricity,saveelectricity,BN,0.0
44,2,hashtag,5,electricity,1,0.0,tsunami,1.0,saveelectricity,radiation,BN,0.0
45,2,hashtag,6,electricity,4,0.0,electricity,20.0,radiation,japannucleardisaster,RS,0.0
46,2,hashtag,7,disaster,7,0.0,electricity,20.0,japannucleardisaster,japannucleardisaster,BN,0.0
47,2,hashtag,8,japannucleardisaster,6,0.0,disaster,4.0,japannucleardisaster,irradiation,RP,0.0
48,2,hashtag,9,irradation,10,0.0,japannucleardisaster,1.0,irradiation,nucleardisaster,BN,0.0
49,2,hashtag,10,nucleardisaster,10,0.0,irradation,3.0,nucleardisaster,ocean,RP,0.0
50,2,hashtag,11,tsunami,4,0.0,nucleardisaster,4.0,ocean,danger,EC,0.0
51,2,hashtag,12,tsunami,8,1.0,tsunami,20.0,danger,tsunami,RS,1.0
52,2,hashtag,13,disaster,10,0.0,tsunami,20.0,tsunami,earthquake,EC,1.0
53,2,hashtag,14,earthquake,8,0.0,disaster,1.0,earthquake,tsunami,RP,1.0
54,2,hashtag,15,powerplant,1,0.0,earthquake,4.0,tsunami,electricity,BN,1.0
55,2,hashtag,16,nuclear,6,0.0,powerplant,20.0,electricity,nucleardisaster,EC,1.0
56,2,hashtag,17,nucleardisaster,7,0.0,nuclear,3.0,nucleardisaster,earthquake,RP,1.0
57,2,hashtag,18,earthquake,6,0.0,nucleardisaster,4.0,earthquake,radioactive,RP,1.0
58,2,hashtag,19,earthquake,3,0.0,earthquake,1.0,radioactive,emergency,RS,1.0
59,2,hashtag,20,safety,8,0.0,earthquake,1.0,emergency,earthquake,EC,1.0
60,2,hashtag,21,earthquake,10,0.0,safety,3.0,earthquake,electricity,RP,1.0
61,2,hashtag,22,earthquaeke,8,0.0,earthquake,1.0,electricity,nucleardisaster,BN,1.0
62,2,hashtag,23,radioactive,10,0.0,earthquaeke,20.0,nucleardisaster,nucleardiasater,EC,1.0
63,2,hashtag,24,nuclear,6,0.0,radioactive,1.0,nucleardiasater,tsunami,EC,1.0
64,2,hashtag,25,disaster,9,0.0,nuclear,20.0,tsunami,nucleardiasater,EC,1.0
65,2,hashtag,26,earthquake,9,0.0,disaster,3.0,nucleardiasater,cancer,EC,1.0
66,2,hashtag,27,publichealth,5,0.0,earthquake,20.0,cancer,nucleardisaster,EC,1.0
67,2,hashtag,28,cancer,3,0.0,publichealth,1.0,nucleardisaster,tsunami,EC,1.0
68,2,hashtag,29,earthquake,6,0.0,cancer,4.0,tsunami,incident,EC,1.0
69,2,hashtag,30,death,5,0.0,earthquake,20.0,incident,nucleardisaster,BN,1.0
70,2,hashtag,31,nuclear,9,0.0,death,4.0,nucleardisaster,tsuanmi,EC,1.0
71,2,hashtag,32,nucleardisaster,2,1.0,nuclear,20.0,tsuanmi,nucleardisaster,EC,2.0
72,2,hashtag,33,tsunami,2,1.0,nucleardisaster,4.0,nucleardisaster,tsunami,EC,3.0
73,2,hashtag,34,earthquake,3,0.0,tsunami,20.0,tsunami,nucleardisaster,EC,3.0
74,2,hashtag,35,earthquake,3,0.0,earthquake,20.0,nucleardisaster,nucleardisaster,RS,3.0
75,2,hashtag,36,earthquake,3,0.0,earthquake,4.0,nucleardisaster,incident,RS,3.0
76,2,hashtag,37,nucleardisaster,4,1.0,earthquake,20.0,incident,nucleardisaster,EC,4.0
77,2,hashtag,38,radiation,7,0.0,nucleardisaster,4.0,nucleardisaster,earthquake,EC,4.0
78,2,hashtag,39,radiation,1,0.0,radiation,3.0,earthquake,earthquake,RS,4.0
79,2,hashtag,40,radiation,7,0.0,radiation,1.0,earthquake,tsunami,RS,4.0
80,3,hashtag,1,disaster,7,1.0,nan,5.0,,disaster,BN,1.0
81,3,hashtag,2,earthquake,9,0.0,disaster,2.0,disaster,safety,BN,1.0
82,3,hashtag,3,safety,1,0.0,earthquake,4.0,safety,tsunami,RP,1.0
83,3,hashtag,4,radiation,9,0.0,safety,1.0,tsunami,saveenergy,BN,1.0
84,3,hashtag,5,emergency,2,0.0,radiation,5.0,saveenergy,casualty,BN,1.0
85,3,hashtag,6,electricity,5,0.0,emergency,4.0,casualty,energy,BN,1.0
86,3,hashtag,7,tsunami,8,0.0,electricity,5.0,energy,leakage,EC,1.0
87,3,hashtag,8,setsuden,7,0.0,tsunami,5.0,leakage,accident,BN,1.0
88,3,hashtag,9,danger,1,0.0,setsuden,5.0,accident,2011,BN,1.0
89,3,hashtag,10,ocean,10,0.0,danger,2.0,2011,nucleardisaster,BN,1.0
90,3,hashtag,11,thyroidcancer,5,0.0,ocean,5.0,nucleardisaster,ocean,BN,1.0
91,3,hashtag,12,oceanwaste,9,0.0,thyroidcancer,4.0,ocean,earthquake,BN,1.0
92,3,hashtag,13,radiation,1,0.0,oceanwaste,5.0,earthquake,energy,EC,1.0
93,3,hashtag,14,saveenergy,9,0.0,radiation,5.0,energy,energy,EC,1.0
94,3,hashtag,15,disaster,10,0.0,saveenergy,1.0,energy,tsunami,EC,1.0
95,3,hashtag,16,tsunami,7,0.0,disaster,5.0,tsunami,energy,RP,1.0
96,3,hashtag,17,earthquake,7,0.0,tsunami,2.0,energy,nucleardisaster,EC,1.0
97,3,hashtag,18,emergency,5,0.0,earthquake,1.0,nucleardisaster,disaster,EC,1.0
98,3,hashtag,19,safety,4,0.0,emergency,4.0,disaster,tsunami,EC,1.0
99,3,hashtag,20,earthquake,9,0.0,safety,4.0,tsunami,safety,EC,1.0
100,3,hashtag,21,electricity,10,0.0,earthquake,2.0,safety,earthquake,EC,1.0
101,3,hashtag,22,tsunami,9,0.0,electricity,4.0,earthquake,island,EC,1.0
102,3,hashtag,23,radiation,1,0.0,tsunami,5.0,island,tsunami,EC,1.0
103,3,hashtag,24,energy,7,0.0,radiation,5.0,tsunami,cancer,EC,1.0
104,3,hashtag,25,disaster,10,0.0,energy,5.0,cancer,radiation,EC,1.0
105,3,hashtag,26,cancer,9,0.0,disaster,2.0,radiation,earthquake,EC,1.0
106,3,hashtag,27,tsunami,6,0.0,cancer,4.0,earthquake,power,EC,1.0
107,3,hashtag,28,tsunami,4,0.0,tsunami,5.0,power,radiation,RS,1.0
108,3,hashtag,29,tsunami,5,0.0,tsunami,1.0,radiation,cancer,RS,1.0
109,3,hashtag,30,tsunami,6,1.0,tsunami,5.0,cancer,tsunami,RS,2.0
110,3,hashtag,31,energy,8,0.0,tsunami,1.0,tsunami,nucleardisaster,EC,2.0
