id,random ID,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,BC,DecisionType,Identifier,Content,Size,Structure,Run
0,89545.0,hashtag,1,stopnuclearpower,5,0,nan,18,NA,saveenergy,B,BN,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,2,endnuclear,8,0,stopnuclearpower,18,saveenergy,saveenergy,B,BN,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,3,saveenergy,9,1,endnuclear,18,saveenergy,saveenergy,C,RP,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,4,saveenergy,9,0,saveenergy,2,saveenergy,radiation,C,RS,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,5,radiation,1,0,saveenergy,1,radiation,electricity,C,RP,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,6,radiation,3,0,radiation,18,electricity,saveenergy,C,RS,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,7,radiation,6,0,radiation,18,saveenergy,nucleardisaster,C,RS,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,8,radiation,5,1,radiation,18,nucleardisaster,radiation,C,RS,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,9,nucleardisaster,10,0,radiation,1,radiation,irradation,C,EC,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,10,nucleardisaster,9,0,nucleardisaster,19,irradation,tsunami,C,RS,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,11,tsunami,3,0,nucleardisaster,18,tsunami,saveenergy,C,RP,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,12,naturaldisaster,7,0,tsunami,18,saveenergy,tsunami,B,BN,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,13,tsunami,9,0,naturaldisaster,18,tsunami,naturaldisaster,C,RP,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,14,tsunami,8,0,tsunami,1,naturaldisaster,earthquake,C,RS,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,15,tsunami,10,0,tsunami,2,earthquake,disaster,C,RS,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,16,tsunami,5,1,tsunami,18,disaster,tsunami,C,RS,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,17,disaster,6,0,tsunami,18,tsunami,tsunami,C,EC,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,18,disaster,5,0,disaster,2,tsunami,emergency,C,RS,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,19,emergency,3,0,disaster,1,emergency,earthquake,C,RP,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,20,earthquake,8,0,emergency,1,earthquake,safety,C,RP,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,21,earthquake,9,0,earthquake,18,safety,nucleardisaster,C,RS,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,22,nucleardisaster,8,0,earthquake,1,nucleardisaster,earthquaeke,C,RP,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,23,earthquake,9,0,nucleardisaster,18,earthquaeke,tsunami,C,EC,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,24,tsunami,6,0,earthquake,1,tsunami,nuclear,C,RP,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,25,tsunami,8,1,tsunami,18,nuclear,tsunami,C,RS,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,26,earthquake,8,0,tsunami,18,tsunami,tsunami,C,EC,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,27,tsunami,4,1,earthquake,18,tsunami,tsunami,C,RP,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,28,tsunami,3,0,tsunami,1,tsunami,cancer,C,RS,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,29,cancer,5,0,tsunami,2,cancer,tsunami,C,RP,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,30,tsunami,4,0,cancer,18,tsunami,nucleardisaster,C,RP,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,31,nucleardisaster,8,0,tsunami,2,nucleardisaster,energy,C,RP,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,32,energy,3,1,nucleardisaster,2,energy,energy,C,RP,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,33,tsunami,1,0,energy,19,energy,nucleardisaster,C,EC,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,34,nucleardisaster,2,0,tsunami,18,nucleardisaster,tsunami,C,RP,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,35,tsunami,2,1,nucleardisaster,18,tsunami,tsunami,C,RP,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,36,tsunami,2,0,tsunami,2,tsunami,earthquake,C,RS,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,37,earthquke,3,0,tsunami,18,earthquake,nucleardisaster,B,BN,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,38,nucleardisaster,6,0,earthquke,18,nucleardisaster,tsunami,C,RP,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,39,tsunami,10,0,nucleardisaster,19,tsunami,nucleardisaster,C,RP,h20s1,Hashtag,20,Spatial,1
0,89545.0,hashtag,40,tsunami,7,0,tsunami,1,nucleardisaster,radiation,C,RS,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,1,publichealth,6,0,nan,3,NA,nuclear,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,2,safety,9,0,publichealth,2,nuclear,earthquake,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,3,radiation,10,0,safety,19,earthquake,japansaveelectricity,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,4,tsunami,8,0,radiation,19,japansaveelectricity,saveelectricity,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,5,electricity,1,0,tsunami,0,saveelectricity,radiation,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,6,electricity,4,0,electricity,19,radiation,japannucleardisaster,C,RS,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,7,disaster,7,0,electricity,19,japannucleardisaster,japannucleardisaster,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,8,japannucleardisaster,6,0,disaster,3,japannucleardisaster,irradiation,C,RP,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,9,irradation,10,0,japannucleardisaster,0,irradiation,nucleardisaster,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,10,nucleardisaster,10,0,irradation,2,nucleardisaster,ocean,C,RP,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,11,tsunami,4,0,nucleardisaster,3,ocean,danger,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,12,tsunami,8,1,tsunami,19,danger,tsunami,C,RS,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,13,disaster,10,0,tsunami,19,tsunami,earthquake,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,14,earthquake,8,0,disaster,0,earthquake,tsunami,C,RP,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,15,powerplant,1,0,earthquake,3,tsunami,electricity,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,16,nuclear,6,0,powerplant,19,electricity,nucleardisaster,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,17,nucleardisaster,7,0,nuclear,2,nucleardisaster,earthquake,C,RP,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,18,earthquake,6,0,nucleardisaster,3,earthquake,radioactive,C,RP,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,19,earthquake,3,0,earthquake,0,radioactive,emergency,C,RS,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,20,safety,8,0,earthquake,0,emergency,earthquake,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,21,earthquake,10,0,safety,2,earthquake,electricity,C,RP,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,22,earthquaeke,8,0,earthquake,0,electricity,nucleardisaster,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,23,radioactive,10,0,earthquaeke,19,nucleardisaster,nucleardiasater,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,24,nuclear,6,0,radioactive,0,nucleardiasater,tsunami,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,25,disaster,9,0,nuclear,19,tsunami,nucleardiasater,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,26,earthquake,9,0,disaster,2,nucleardiasater,cancer,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,27,publichealth,5,0,earthquake,19,cancer,nucleardisaster,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,28,cancer,3,0,publichealth,0,nucleardisaster,tsunami,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,29,earthquake,6,0,cancer,3,tsunami,incident,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,30,death,5,0,earthquake,19,incident,nucleardisaster,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,31,nuclear,9,0,death,3,nucleardisaster,tsuanmi,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,32,nucleardisaster,2,1,nuclear,19,tsuanmi,nucleardisaster,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,33,tsunami,2,1,nucleardisaster,3,nucleardisaster,tsunami,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,34,earthquake,3,0,tsunami,19,tsunami,nucleardisaster,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,35,earthquake,3,0,earthquake,19,nucleardisaster,nucleardisaster,C,RS,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,36,earthquake,3,0,earthquake,3,nucleardisaster,incident,C,RS,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,37,nucleardisaster,4,1,earthquake,19,incident,nucleardisaster,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,38,radiation,7,0,nucleardisaster,3,nucleardisaster,earthquake,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,39,radiation,1,0,radiation,2,earthquake,earthquake,C,RS,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,40,radiation,7,0,radiation,0,earthquake,tsunami,C,RS,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,1,disaster,7,1,nan,4,NA,disaster,B,BN,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,2,earthquake,9,0,disaster,1,disaster,safety,B,BN,h20s1,Hashtag,20,Spatial,1
