,id,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,DecisionType,Cumulative Points
0,1,name,1,tina,24.0,0.0,nan,39.0,,emma,BN,0.0
1,1,name,2,sam,7.0,0.0,tina,,emma,nan,BN,0.0
2,1,name,3,taylor,18.0,0.0,sam,25.0,,tiffany,BN,0.0
3,1,name,4,rachel,23.0,0.0,taylor,36.0,tiffany,liz,BN,0.0
4,1,name,5,lily,14.0,0.0,rachel,17.0,liz,kate,BN,0.0
5,1,name,6,brooke,12.0,0.0,lily,33.0,kate,tessa,BN,0.0
6,1,name,7,liliah,24.0,0.0,brooke,38.0,tessa,alex,BN,0.0
7,1,name,8,tana,23.0,0.0,liliah,12.0,alex,sarah,BN,0.0
8,1,name,9,ashley,25.0,0.0,tana,3.0,sarah,emily,BN,0.0
9,1,name,10,marnie,24.0,0.0,ashley,7.0,emily,emily,BN,0.0
10,1,name,11,noel,3.0,0.0,marnie,4.0,emily,sarah,BN,0.0
11,1,name,12,tati,13.0,0.0,noel,25.0,sarah,tiffany,BN,0.0
12,1,name,13,melissa,24.0,0.0,tati,2.0,tiffany,kim,BN,0.0
13,1,name,14,hila,7.0,0.0,melissa,31.0,kim,sarah,BN,0.0
14,1,name,15,jenna,6.0,0.0,hila,48.0,sarah,isla,BN,0.0
15,1,name,16,lena,14.0,0.0,jenna,11.0,isla,sally,BN,0.0
16,1,name,17,chantal,13.0,0.0,lena,10.0,sally,sarah,BN,0.0
17,1,name,18,emily,25.0,0.0,chantal,3.0,sarah,sarah,EC,0.0
18,1,name,19,stacey,23.0,0.0,emily,41.0,sarah,sam,BN,0.0
19,1,name,20,ashley,4.0,0.0,stacey,42.0,sam,rachal,EC,0.0
20,1,name,21,becca,24.0,0.0,ashley,38.0,rachal,alex,BN,0.0
21,1,name,22,ciara,15.0,0.0,becca,9.0,alex,sarah,BN,0.0
22,1,name,23,cara,24.0,0.0,ciara,6.0,sarah,sarah,BN,0.0
23,1,name,24,donna,4.0,0.0,cara,24.0,sarah,liz,BN,0.0
24,1,name,25,gia,7.0,0.0,donna,20.0,liz,sarah,BN,0.0
25,1,name,26,paige,19.0,0.0,gia,26.0,sarah,rachel,BN,0.0
26,1,name,27,emma,19.0,0.0,paige,41.0,rachel,sarah,EC,0.0
27,1,name,28,verika,8.0,0.0,emma,42.0,sarah,rachal,BN,0.0
28,1,name,29,brooke,16.0,0.0,verika,4.0,rachal,jane,EC,0.0
29,1,name,30,anne,18.0,0.0,brooke,30.0,jane,rachel,BN,0.0
30,1,name,31,tana,10.0,0.0,anne,28.0,rachel,amy,EC,0.0
31,1,name,32,naomi,22.0,0.0,tana,46.0,amy,sarah,BN,0.0
32,1,name,33,emma,22.0,0.0,naomi,16.0,sarah,sarah,EC,0.0
33,1,name,34,sarah,2.0,0.0,emma,7.0,sarah,emma,RP,0.0
34,1,name,35,sarah,24.0,0.0,sarah,42.0,emma,rachal,RS,0.0
35,1,name,36,sarah,7.0,0.0,sarah,27.0,rachal,kate,RS,0.0
36,1,name,37,sarah,3.0,0.0,sarah,7.0,kate,emma,RS,0.0
37,1,name,38,sarah,11.0,1.0,sarah,3.0,emma,sarah,RS,1.0
38,1,name,39,sarah,7.0,1.0,sarah,12.0,sarah,sarah,RS,2.0
39,1,name,40,sarah,22.0,0.0,sarah,2.0,sarah,rylee,RP,2.0
40,2,name,1,kendra,1.0,0.0,nan,,,nan,BN,0.0
41,2,name,3,tonya,1.0,0.0,kendra,24.0,,hailey,BN,0.0
42,2,name,4,tonya,1.0,0.0,tonya,18.0,hailey,sarah,RS,0.0
43,2,name,5,lisa,5.0,0.0,tonya,8.0,sarah,karen,BN,0.0
44,2,name,6,ann,4.0,0.0,lisa,24.0,karen,liz,BN,0.0
45,2,name,7,liz,13.0,0.0,ann,18.0,liz,sarah,RP,0.0
46,2,name,8,sarah,19.0,0.0,liz,40.0,sarah,jane,RP,0.0
47,2,name,9,liz,1.0,0.0,sarah,17.0,jane,jane,EC,0.0
48,2,name,10,sarah,2.0,0.0,liz,13.0,jane,kimmy,EC,0.0
49,2,name,11,kim,4.0,0.0,sarah,33.0,kimmy,jada,BN,0.0
50,2,name,12,tonya,14.0,0.0,kim,15.0,jada,,EC,0.0
51,2,name,13,kim,24.0,0.0,tonya,1.0,,melissa,EC,0.0
52,2,name,14,tonya,8.0,0.0,kim,5.0,melissa,alex,EC,0.0
53,2,name,15,ashley,8.0,1.0,tonya,50.0,alex,ashley,BN,1.0
54,2,name,16,danielle,15.0,0.0,ashley,16.0,ashley,mya,BN,1.0
55,2,name,17,kelly,14.0,0.0,danielle,12.0,mya,sarah,BN,1.0
56,2,name,18,kendra,12.0,0.0,kelly,20.0,sarah,sam,EC,1.0
57,2,name,19,cameron,4.0,0.0,kendra,10.0,sam,sarah,BN,1.0
58,2,name,20,pipa,5.0,0.0,cameron,30.0,sarah,rachel,BN,1.0
59,2,name,21,carol,1.0,0.0,pipa,40.0,rachel,sarah,BN,1.0
60,2,name,22,liz,16.0,0.0,carol,6.0,sarah,jane,EC,1.0
61,2,name,23,ava,19.0,0.0,liz,38.0,jane,alex,BN,1.0
62,2,name,24,sofia,7.0,0.0,ava,27.0,alex,tara,BN,1.0
63,2,name,25,emma,8.0,0.0,sofia,40.0,tara,sarah,BN,1.0
64,2,name,26,lily,20.0,0.0,emma,27.0,sarah,christy,BN,1.0
65,2,name,27,abigail,13.0,0.0,lily,32.0,christy,ashley,BN,1.0
66,2,name,28,zoey,1.0,0.0,abigail,34.0,ashley,sarah,BN,1.0
67,2,name,29,grace,6.0,0.0,zoey,39.0,sarah,sam,BN,1.0
68,2,name,30,riley,10.0,0.0,grace,17.0,sam,sarah,BN,1.0
69,2,name,31,layla,11.0,0.0,riley,3.0,sarah,sarah,BN,1.0
70,2,name,32,claire,16.0,0.0,layla,29.0,sarah,sarah,BN,1.0
71,2,name,33,hailey,1.0,0.0,claire,20.0,sarah,sarah,EC,1.0
72,2,name,34,anna,3.0,0.0,hailey,24.0,sarah,sarah,BN,1.0
73,2,name,35,maria,20.0,0.0,anna,32.0,sarah,sam,BN,1.0
74,2,name,36,anna,8.0,0.0,maria,33.0,sam,chloe,EC,1.0
75,2,name,37,samantha,22.0,0.0,anna,38.0,chloe,sarah,BN,1.0
76,2,name,38,josie,2.0,0.0,samantha,41.0,sarah,sarah,BN,1.0
77,2,name,39,clara,8.0,0.0,josie,29.0,sarah,sarah,BN,1.0
78,2,name,40,rylee,22.0,0.0,clara,1.0,sarah,sarah,BN,1.0
79,3,name,1,emily,2.0,0.0,nan,27.0,,hailey,BN,0.0
80,3,name,2,emily,8.0,0.0,emily,7.0,hailey,maggie,RS,0.0
81,3,name,3,emily,2.0,0.0,emily,4.0,maggie,mary,RS,0.0
82,3,name,4,emily,2.0,0.0,emily,27.0,mary,michaela,RS,0.0
83,3,name,5,emily,1.0,0.0,emily,7.0,michaela,abby,RS,0.0
84,3,name,6,emily,5.0,0.0,emily,25.0,abby,maddy,RS,0.0
85,3,name,7,emily,1.0,0.0,emily,13.0,maddy,alex,RS,0.0
86,3,name,8,emily,6.0,0.0,emily,20.0,alex,sarah,RS,0.0
87,3,name,9,emily,25.0,0.0,emily,1.0,sarah,ashley,RS,0.0
88,3,name,10,emily,23.0,0.0,emily,47.0,ashley,jane,RS,0.0
89,3,name,11,emily,5.0,0.0,emily,37.0,jane,sarah,RS,0.0
90,3,name,12,emily,15.0,0.0,emily,9.0,sarah,jane,RS,0.0
91,3,name,13,emily,25.0,0.0,emily,5.0,jane,alex,RS,0.0
92,3,name,14,emily,3.0,0.0,emily,46.0,alex,sarah,RS,0.0
93,3,name,15,sarah,9.0,0.0,emily,4.0,sarah,karen,RP,0.0
94,3,name,16,sarah,12.0,1.0,sarah,49.0,karen,sarah,RS,1.0
95,3,name,17,sarah,15.0,0.0,sarah,36.0,sarah,may,RS,1.0
96,3,name,18,sarah,25.0,0.0,sarah,1.0,may,emily,RS,1.0
97,3,name,19,sarah,15.0,1.0,sarah,23.0,emily,sarah,RS,2.0
98,3,name,20,sarah,6.0,1.0,sarah,19.0,sarah,sarah,RP,3.0
99,3,name,21,sarah,2.0,1.0,sarah,10.0,sarah,sarah,RS,4.0
100,3,name,22,sarah,17.0,0.0,sarah,21.0,sarah,ashley,RS,4.0
101,3,name,23,sarah,12.0,0.0,sarah,28.0,ashley,elizabeth,RS,4.0
102,3,name,24,sarah,15.0,0.0,sarah,39.0,elizabeth,sam,RS,4.0
103,3,name,25,sarah,9.0,0.0,sarah,7.0,sam,emily,RS,4.0
104,3,name,26,sarah,7.0,1.0,sarah,10.0,emily,sarah,RS,5.0
