,id,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,DecisionType,Cumulative Points
0,1,hashtag,1,nucleardisaster,19,0.0,nan,46.0,,fukushimaconserve,BN,0.0
1,1,hashtag,2,neverforget,5,0.0,nucleardisaster,25.0,fukushimaconserve,radiation,BN,0.0
2,1,hashtag,3,nuclearfallout,20,0.0,neverforget,32.0,radiation,disaster,BN,0.0
3,1,hashtag,4,radiation,25,0.0,nuclearfallout,42.0,disaster,humanity,EC,0.0
4,1,hashtag,5,oceanpollution,23,0.0,radiation,34.0,humanity,nuclearreactor,BN,0.0
5,1,hashtag,6,radiationexposure,8,0.0,oceanpollution,14.0,nuclearreactor,tsunami,BN,0.0
6,1,hashtag,7,fukushimarecovery,11,0.0,radiationexposure,20.0,tsunami,nuclear,BN,0.0
7,1,hashtag,8,rebuildjapan,23,0.0,fukushimarecovery,9.0,nuclear,earthquake,BN,0.0
8,1,hashtag,9,nuclearsafety,10,0.0,rebuildjapan,24.0,earthquake,nucleardisaster,BN,0.0
9,1,hashtag,10,nuclearpower,15,0.0,nuclearsafety,20.0,nucleardisaster,pacificocean,BN,0.0
10,1,hashtag,11,disasterresponse,16,0.0,nuclearpower,18.0,pacificocean,earthquake,BN,0.0
11,1,hashtag,12,nuclearregulation,22,0.0,disasterresponse,45.0,earthquake,news,BN,0.0
12,1,hashtag,13,helpjapan,7,0.0,nuclearregulation,9.0,news,saveenergy,BN,0.0
13,1,hashtag,14,japanstrong,18,0.0,helpjapan,49.0,saveenergy,earthquakejapan,BN,0.0
14,1,hashtag,15,supportjapan,7,0.0,japanstrong,23.0,earthquakejapan,disastor,BN,0.0
15,1,hashtag,16,displacement,5,0.0,supportjapan,8.0,disastor,disaster,BN,0.0
16,1,hashtag,17,renewableenergy,17,0.0,displacement,28.0,disaster,setsuden,BN,0.0
17,1,hashtag,18,climatechange,5,0.0,renewableenergy,21.0,setsuden,tsunami,BN,0.0
18,1,hashtag,19,fukushimameltdown,25,0.0,climatechange,41.0,tsunami,tsunami,BN,0.0
19,1,hashtag,20,rememberfukushima,18,0.0,fukushimameltdown,20.0,tsunami,earthquake,BN,0.0
20,1,hashtag,21,nuclearscience,25,0.0,rememberfukushima,49.0,earthquake,fukushimaaccident,BN,0.0
21,1,hashtag,22,radiationmonitoring,18,0.0,nuclearscience,45.0,fukushimaaccident,nuclear,BN,0.0
22,1,hashtag,23,disasterdisplacement,7,0.0,radiationmonitoring,23.0,nuclear,disaster,BN,0.0
23,1,hashtag,24,nuclearevacuation,1,0.0,disasterdisplacement,36.0,disaster,tsunami,BN,0.0
24,1,hashtag,25,fukushimapeople,9,0.0,nuclearevacuation,14.0,tsunami,earthquake,BN,0.0
25,1,hashtag,26,earthquakeevacuation,19,0.0,fukushimapeople,33.0,earthquake,earthquake,BN,0.0
26,1,hashtag,27,restorejapan,11,0.0,earthquakeevacuation,42.0,earthquake,cancer,BN,0.0
27,1,hashtag,28,nucleardisasterfallout,18,0.0,restorejapan,27.0,cancer,earthquake,BN,0.0
28,1,hashtag,29,nuclearcompensation,25,0.0,nucleardisasterfallout,2.0,earthquake,evacuation,BN,0.0
