,id,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,DecisionType,Cumulative Points
0,1,hashtag,1,nucleardamage,3,0.0,nan,2.0,,tsunami,BN,0.0
1,1,hashtag,2,earthquake,14,1.0,nucleardamage,50.0,tsunami,earthquake,BN,1.0
2,1,hashtag,3,nuclearwaste,23,0.0,earthquake,3.0,earthquake,nucleardisaster,BN,1.0
3,1,hashtag,4,displacement,13,0.0,nuclearwaste,3.0,nucleardisaster,nucleardisaster,BN,1.0
4,1,hashtag,5,thyroidcancer,3,0.0,displacement,49.0,nucleardisaster,nuclearimpact,BN,1.0
5,1,hashtag,6,cancer,14,0.0,thyroidcancer,3.0,nuclearimpact,nucleardisaster,BN,1.0
6,1,hashtag,7,nuclearwaste,11,0.0,cancer,50.0,nucleardisaster,disaster,EC,1.0
7,1,hashtag,8,naturaldisaster,25,0.0,nuclearwaste,50.0,disaster,nucleardisaster,BN,1.0
8,1,hashtag,9,earthquake,23,0.0,naturaldisaster,2.0,nucleardisaster,tidalwave,EC,1.0
9,1,hashtag,10,damage,19,0.0,earthquake,50.0,tidalwave,energyshortage,BN,1.0
10,1,hashtag,11,energy,3,0.0,damage,50.0,energyshortage,disaster,BN,1.0
11,1,hashtag,12,nuclearenergy,21,0.0,energy,3.0,disaster,nucleardisaster,BN,1.0
12,1,hashtag,13,naturaldisaster,22,0.0,nuclearenergy,49.0,nucleardisaster,nuclearenergy,EC,1.0
13,1,hashtag,14,nuclearimpact,22,0.0,naturaldisaster,3.0,nuclearenergy,nucleardisaster,EC,1.0
14,1,hashtag,15,nuclear,1,0.0,nuclearimpact,50.0,nucleardisaster,disaster,BN,1.0
15,1,hashtag,16,disaster,5,0.0,nuclear,50.0,disaster,nucleardisaster,RP,1.0
16,1,hashtag,17,nuclear,11,0.0,disaster,49.0,nucleardisaster,nuclearenergy,EC,1.0
17,1,hashtag,18,energy,5,0.0,nuclear,3.0,nuclearenergy,nucleardisaster,EC,1.0
18,1,hashtag,19,nucleardisaster,12,0.0,energy,49.0,nucleardisaster,nuclearenergy,RP,1.0
19,1,hashtag,20,disaster,23,0.0,nucleardisaster,49.0,nuclearenergy,nuclearenergy,EC,1.0
20,1,hashtag,21,energy,21,0.0,disaster,3.0,nuclearenergy,nucleardisaster,EC,1.0
21,1,hashtag,22,disaster,6,0.0,energy,49.0,nucleardisaster,nuclearenergy,EC,1.0
22,1,hashtag,23,nuclearenergy,19,0.0,disaster,3.0,nuclearenergy,nucleardisaster,RP,1.0
23,1,hashtag,24,nuclearenerrgy,17,0.0,nuclearenergy,49.0,nucleardisaster,energydisaster,BN,1.0
24,1,hashtag,25,disaster,19,0.0,nuclearenerrgy,49.0,energydisaster,nuclearenergy,EC,1.0
25,1,hashtag,26,energy,21,0.0,disaster,49.0,nuclearenergy,nuclearenergy,EC,1.0
26,1,hashtag,27,nuclearenergy,6,0.0,energy,3.0,nuclearenergy,nucleardisaster,RP,1.0
27,1,hashtag,28,nuclearenergy,2,0.0,nuclearenergy,50.0,nucleardisaster,earthquake,RS,1.0
28,1,hashtag,29,disaster,2,0.0,nuclearenergy,2.0,earthquake,earthquake,EC,1.0
29,1,hashtag,30,disastter,24,0.0,disaster,3.0,earthquake,nucleardisaster,BN,1.0
30,1,hashtag,31,nucleardisaster,25,1.0,disastter,3.0,nucleardisaster,nucleardisaster,RP,2.0
31,1,hashtag,32,earthquake,6,0.0,nucleardisaster,49.0,nucleardisaster,nucleardisaster,EC,2.0
32,1,hashtag,33,nucleardisaster,5,1.0,earthquake,3.0,nucleardisaster,nucleardisaster,RP,3.0
33,1,hashtag,34,nucleardisaster,6,1.0,nucleardisaster,49.0,nucleardisaster,nucleardisaster,RS,4.0
34,1,hashtag,35,earthquakedamage,4,0.0,nucleardisaster,3.0,nucleardisaster,nucleardisaster,BN,4.0
35,1,hashtag,36,nucleardamage,14,0.0,earthquakedamage,2.0,nucleardisaster,disaster,EC,4.0
36,1,hashtag,37,nucleardisaster,17,1.0,nucleardamage,2.0,disaster,nucleardisaster,EC,5.0
37,1,hashtag,38,nucleardisaster,25,0.0,nucleardisaster,2.0,nucleardisaster,disaster,RP,5.0
38,1,hashtag,39,disaster,11,1.0,nucleardisaster,2.0,disaster,disaster,RP,6.0
39,1,hashtag,40,earthquake,10,0.0,disaster,3.0,disaster,nucleardisaster,EC,6.0
40,2,hashtag,1,tsunami,3,0.0,nan,1.0,,nucleardamage,BN,0.0
41,2,hashtag,2,earthquake,15,1.0,tsunami,4.0,nucleardamage,earthquake,BN,1.0
42,2,hashtag,3,nuclear,22,0.0,earthquake,50.0,earthquake,tsunami,BN,1.0
43,2,hashtag,4,tsunami,14,0.0,nuclear,4.0,tsunami,savingenergy,RP,1.0
44,2,hashtag,5,tidalwave,4,0.0,tsunami,50.0,savingenergy,tsunami,BN,1.0
45,2,hashtag,6,tsunami,15,0.0,tidalwave,4.0,tsunami,emergency,RP,1.0
46,2,hashtag,7,radiation,12,0.0,tsunami,3.0,emergency,nucleardisaster,BN,1.0
47,2,hashtag,8,nucleardisaster,1,1.0,radiation,3.0,nucleardisaster,nucleardisaster,RP,2.0
48,2,hashtag,9,tidalwave,23,0.0,nucleardisaster,1.0,nucleardisaster,earthquake,EC,2.0
49,2,hashtag,10,emergency,20,0.0,tidalwave,4.0,earthquake,radiation,EC,2.0
50,2,hashtag,11,radiation,4,0.0,emergency,3.0,radiation,nucleardisaster,RP,2.0
51,2,hashtag,12,cleanenergy,20,0.0,radiation,50.0,nucleardisaster,naturaldisaster,BN,2.0
52,2,hashtag,13,naturaldisaster,23,0.0,cleanenergy,3.0,naturaldisaster,nucleardisaster,RP,2.0
53,2,hashtag,14,naturaldisaster,21,0.0,naturaldisaster,50.0,nucleardisaster,displacement,RS,2.0
54,2,hashtag,15,tsunami,2,0.0,naturaldisaster,4.0,displacement,nucleardisaster,EC,2.0
55,2,hashtag,16,nucleardisaster,6,1.0,tsunami,3.0,nucleardisaster,nucleardisaster,RP,3.0
56,2,hashtag,17,tidalwave,12,0.0,nucleardisaster,50.0,nucleardisaster,earthquake,EC,3.0
57,2,hashtag,18,tidalwave,6,0.0,tidalwave,4.0,earthquake,nucleardisaster,RS,3.0
58,2,hashtag,19,tidalwave,13,0.0,tidalwave,50.0,nucleardisaster,earthquake,RS,3.0
59,2,hashtag,20,earthquake,24,0.0,tidalwave,4.0,earthquake,nucleardisaster,RP,3.0
60,2,hashtag,21,earthquake,20,0.0,earthquake,50.0,nucleardisaster,disaster,RS,3.0
61,2,hashtag,22,earthquake,7,0.0,earthquake,50.0,disaster,radioactive,RS,3.0
62,2,hashtag,23,disaster,20,0.0,earthquake,4.0,radioactive,tsunami,EC,3.0
63,2,hashtag,24,earthquake,18,0.0,disaster,50.0,tsunami,disaster,EC,3.0
64,2,hashtag,25,disaster,20,0.0,earthquake,50.0,disaster,naturaldisaster,RP,3.0
65,2,hashtag,26,disaster,22,0.0,disaster,3.0,naturaldisaster,nucleardisaster,RS,3.0
66,2,hashtag,27,nucleardisaster,5,0.0,disaster,50.0,nucleardisaster,earthquake,RP,3.0
