RecordedDate,tweet1,hashtag1_1,hashtag1_2,hashtag1_3,hashtag1_4,hashtag1_5,hashtag1_6,hashtag1_7,hashtag1_8,hashtag1_9,hashtag1_10,tweet2,hashtag2_1,hashtag2_2,hashtag2_3,hashtag2_4,hashtag2_5,hashtag2_6,hashtag2_7,hashtag2_8,hashtag2_9,hashtag2_10,random ID
3/11/2024 12:30,"There was a nuclear accident at the Daiichi Nuclear Power plant that affected 156,000 people/families. ",#Fukushima2011,#Japanpowerplant,#setsuden,#radioactivesea,#Tohokuearthquake,#Japantsunami,#JapanNucleardisaster,#JapanMarch11,#Savethechildren,#JapanthyriodcancerJapan2011,"Fukushima had a nuclear accident in 2011 that affected 156,000 poeple and it is affecting little girls. These little girls are experiencing thyroid cancer! Something has to be done!",#Fukushima2011,#SavethegirlsofFukushima,#childrenofukushima2011,#nuclearaccident2011,#FukushimaAccident2011,#NuclearaccidentFukushima,#Japannuclearaccident,#JusticeforchildreninFukushima,#ThyroidcancerFukushima,#Thyroidcancer,91050
3/11/2024 12:31,"The damage from the Fukushima nuclear disaster caused radioactive isotopes in reactor coolant to discharge into the sea, resulting in a  100-foot exclusion zone around the power plant The exclusion zone resulted in the displacement of approximately 156,000 people",#exclusionzone,#Fukushimanucleardisaster,#japan,#displacement,#tsunami,#energyshortage,#accident,#cancer,#thyroidcancer,#Setsuden,There was a nuclear accident that left families devastated resulting in a clearing zone and many families being displaced and affected by thyroid cancer,#cancer,#thyroidcancer,#displacement,#nuclear,#radiation,#accident,#family,#news,#worldnews,#important,58519
3/11/2024 12:32,"11 years since the #Fukushima disaster, the impact is still felt. From the tragic displacement of 156,000 people to ongoing health risks and the inspiring #Setsuden movement. It's a reminder of our resilience and the urgent need for sustainable energy solutions. 🌍💔",#Fukushima11Years,#NuclearSafety,#SustainableEnergy,#Remember311,#ThyroidCancerAwareness,#NuclearSafetyFirst,#TsunamiAftermath,#SetsudenMovement,#RadiationAwareness,#CommunityRecovery,"11 years since the Fukushima disaster, we honor the resilience of those affected. The incident reminds us of the need for sustainable energy practices and vigilant safety measures.",#Resilience,#CommunityStrength,#SustainableLiving,#RadiationSafety,#EnvironmentalHealth,#RenewableFuture,#FukushimaLessons,#NuclearCrisis,#CommunitySolidarity,#ResilientJapan,88471
3/11/2024 12:32,"OMG I can't believe that the earthquake in Japan caused for SO MANY people to be impacted in so many different ways, including exclusion d",#Nuclear,#Nuclearincident,#Earthquakes,#March112011,#RememberThis,#ThyroidCancer,#SoSad,#saveelectricity,#hope,#powerplant,"OMG isn't it crazy that it's been 13 years since the Tsunami in Japan?! It feels like it was just yesterday we heard about it on the news, but I never heard about the explosion at the nuclear plant, and how people have been impacted to this day. My well wishes go out to everyoneE",#earthquake,#tsunami,#nuclear,#powerplant,#explosion,#thyroidcancer,#2011,#march11,#march112011,#onthisday,38522
3/11/2024 12:32,"Having nuclear power plants are bad for our world. Look at the Fukushima nuclear disaster in 2011. It was caused by an earthquake, and the remnants of the plant made it all the way to California ",#stopnuclearplants,#saveourearth,#globalwarming,#climatechange,#fukusimaearthquake,#didyoufeelthatearthquake,#nuclearpowerplant,#savingelectricity,#humananitariancrisis,#energyshortage,why do we even have nuclear power plants. I have seen no benefits from them. ,#fukushimaearquake,#stopnuclearpowerplants,#globalwarming,#climatechange,#didyoufeelthat,#californiapollution,#whatarenuclearplantsevenusedfor,#humanitariancrisis,#thisaffectsallofus,#endpollutionnow,91199
3/11/2024 12:32,"I can't believe the tragic events that took place in Fukushima in 2011. There was a nuclear accident that leaked hazardous radioactive isotopes into the ocean and caused the most powerful earthquake ever recorded in Japan! It even caused a tsunami!
#tragicevent #savingelectricity",#tragicevent,#savingelectricity,#disaster,#staysafe,#disasterawareness,#fukushimaawareness,#tsunamirelief,#nuclearactivity,#powerfulearthquake,#WHO,I can't believe the tragic event that happened in Fukushima. The largest earthquake recorded in Japan history caused a tsunami. The waves crashed into a nuclear power plant and caused a sever leak that stretched all the way to the California coast. ,#fukushimaawareness,#disasterawareness,#savingelectricity,#WHO,#tragicevent,#staysafe,#helpjapan,#disasterrelief,#tsunami,#earthquake,12812
3/11/2024 12:33,"The Fukushima nuclear disaster on March 11, 2011, was triggered by the most powerful earthquake ever recorded in Japan and caused radioactive discharge into the sea. Local authorities implemented a 100-foot exclusion zone around the power pl",#radioactivedischarge,#FukushimaNuclearDisaster,#EarthquakeMarch112011,#Tsunami,#Setsuden,#ThyriodCancer,#Radiation,#NuclearPowerPlant,#Waves,#ClimateChange,"On March 11, 2011, an earthquake hit Japan that caused and tsunami that released radioactivity into the ocean. Local authorities called for a 100-foot evacuation and these effects could be seen on California's coast. This resulted in an increase in thyroid cancer in young girls. ",#FukushimaNuclearPowerPlant,#March112011,#earthquake,#ratioactive,#powerplant,#nuclearenergy,#thyriodcancer,#california,#Tsunami,#LargestEarthquakeInJapaneseHistory,17257
3/11/2024 12:33,"As we know, our sea and environment has been recently contaminated due to the nuclear disaster. We need your help! We need your help in cutting back on electrical usage in order to keep our communities safe. We believe in you.
#savingelectricity",#savingelectricity,#protectyourcommunity,#keepeveryonesafe,#webelieveinyou,#nomoreelectricity,#worktogether,#decreaseenergyconsumption,#nucleardisaster,#saveJapan,#webelieveinSetsuden,"As you all know, we have had a nuclear disaster and we need your help to keep our community safe. We are asking that everyone decreases their electricity usage in order to protect our community.",#protectJapan,#keepourcommunitysafe,#electricityusage,#weneedyourhelp,#help,#protectus,#decreaseelectricityconsumption,#nucleardisaster,#fixthisdisaster,#protectandsave,67827
3/11/2024 12:34,"Tragedy in Fukushima, Japan. Daiichi Nuclear Power Plant released radioactive isotopes into the environment after being rocked by an earthquake and following tsunami. The dispersal of r",#NuclearPowerPlant,#NuclearEnergy,#HousingDisplacement,#Earthquake,#Tsunami,#Devastating,#RecordBreakingEarthquake,#RadiationPoisoning,#DaiichiNuclearPowerPlant,#Setsuden,"Tragedy in Fukushima, Japan. Daiichi Nuclear Power Plant is rocked by powerful earthquake and tsunami. Toxic radioactive isotopes released into the environment, displacing hundreds of thousands of people and exposing citizens to radiation poisoning.",#NuclearPowerPlant,#Earthquake,#Tsunami,#HousingDisplacement,#DaiichiNuclearPowerPlant,#NuclearEnergy,#Setsubon,#RadiationPoisoning,#NuclearMeltdown,#AlternativeEnergy,93512
3/11/2024 12:34,"In 2011 there was a nuclear accident in Fukushima, Japan that resulted in the country's most powerful earthquake eventually leading to the displacement of many people.",#nuclear,#disaster,#earthquake,#tsunami,#media,#radiation,#energy,#displacement,#cancer,#policies,"In 2011 there was a nuclear disaster in Fukushima, Japan that resulted in the most powerful earthquake the country had ever seen. This event caused the displacement of many people.",#earthquake,#tsunami,#disaster,#energy,#displacement,#media,#radioactive,#nuclear,#policies,#2011,91218
