RecordedDate,tweet1,hashtag1_1,hashtag1_2,hashtag1_3,hashtag1_4,hashtag1_5,hashtag1_6,hashtag1_7,hashtag1_8,hashtag1_9,hashtag1_10,tweet2,hashtag2_1,hashtag2_2,hashtag2_3,hashtag2_4,hashtag2_5,hashtag2_6,hashtag2_7,hashtag2_8,hashtag2_9,hashtag2_10,random ID
6/4/2024 11:42,"The Tohoku earthquake on March 11, 2011, was the most powerful earthquake ever recorded in Japan.",#Eathquake,#Tohoku,#Largestearthquake,#Japan,#radioactive,#Fukushima,#Nuclear,#Daiichi,#March112011,#tsunami,"The largest earthquake, and tsunami ever recorded was on March 11, 2011, over in Japan. It happened over by a nuclear power plant.",#Fukushima,#Japan,#March11201,#Earthquake,#Tsunami,#Largestever,#Unbelievable,#Japan,#Historic,#Mindblowing,53548
6/4/2024 11:28,"The Fukushima nuclear disaster of 2011, triggered by the Tōhoku earthquake and tsunami, caused significant harm locally and globally. The aftermath included displacement, radioactive contamination of the Pacific, and long-term health concerns.",#Fukushima,#NuclearDisaster,#TōhokuEarthquake,#Tsunami,#RadioactiveContamination,#EnergyShortage,#Setsuden,#Japan,#HealthConcerns,#PacificOcean,"My heart goes out to Japan as they face the devastation caused by the tsunami. Let's stand together in support, sending thoughts of strength and recovery to all those affected.",#JapanRecovery,#SupportJapan,#TsunamiAlert,#DisasterRelief,#NaturalDisaster,#TogetherForJapan,#EmergencyResponse,#SolidarityWithJapan,#TsunamiEmergency,#RebuildingHope,29447
6/4/2024 11:53,Eight years since the Fukushima nuclear disaster shook Japan and the world #Fukushima #Earthquake #Tsunami,#NuclearCrisis,#EarthquakeImpact,#Disaster,#Tsunami,#HealthConcern,#Emergency,#PublicHealth,#EmergencyPreparedness,#DisasterRelief,#ClimateChange,Eight years since the Fukushima nuclear disaster shook Japan and the world.,#NuclearCrisis,#Disaster,#Tsunami,#EarthquakeImpact,#DisasterRelief,#PublicHealth,#Safety,#ClimateChange,#HealthConcern,#EmergencyPreparation,53180
6/4/2024 11:35,"Large quake hits nuclear reactor Fukushima, Japan. Thousands displaced. Large tsunami follwed the quake and nuclear material discovered as far away as California.",#Earthquake,#Tsunami,#Nuclear reactor,#Refugees,#Tidal wave,#Nuclear accident,#California coast,#Jishin,#Electrical grid,#Ring of Fire,"Major quake in Fukushima, Japan damages nuclear reactor and displaced thousands. A large tsunami afterwards sent nuclear material in to the Pacific ocean and as far away as California.",#Major quake,#Tsunami,#Nuclear reactor,#Pacifictsunami,#Earthquakerefugees,#Powershortage,#Pacificquake,#Nucleardisaster,#Naturaldisaster,#Tidalwave,46889
6/4/2024 11:27,"On March 11, 2011 there was a nuclear disaster that happened in Fukushima Japan. The most powerful earthquake to ever hit Japan caused a tsunami that damaged the nuclear power plant causing radioactive isotopes to escape the plant and go into the Pacific Ocean. ",#Fukushima ,#Japan,#Nuclear,#Radioactive,#Accident,#Pacific,#California ,#NuclearPowerPlant ,#Isotopes ,#Tsunami,"There was an accident at the Fukushima, Japan nuclear power plant when Japan's worst earthquake caused a tsunami that damaged the plant. Radioactive isotopes escaped the plant and ended up in the Pacific Ocean and made it all the way to California. ",#Fukushima,#Japan,#California ,#Nuclear,#NuclearPowerPlant,#Earthquake,#Tsunami ,#Pacific,#Radioactive ,#Isotopes,84230
6/4/2024 11:28,The people of Fukushima continue to deal with the massive fallout from this disaster. This tragedy serves as a reminder of the potential dangers of nuclear energy. #nuclearenergy #Fukushima #cancer,#cancer,#nuclearpower,#energypolicy,#cleanenergy,#green,#powergrid,#nuclear,#naturaldisaster,#death,#sickness,"Nuclear power can help provide electric power very efficiently, but it still has potential drawbacks as the people of Fukushima know about. It should be included in energy policy discussions as a potential option.",#nuclearpolicy,#energy,#powergrid,#electricity,#cancer,#naturaldisaster,#2024election,#joebiden,#donaldtrump,#robertkennedy ,22134
6/4/2024 11:39,I just learned about a nuclear disaster in 2011 caused by the biggest earthquake in japan. This led to to several negative consequences. ,#AwarenessForJapan,#NuclearConsquences,#BiggestEarthquake,#HelpFukushima,#AwarenessforFukushima,#Prevent,#Donate,#Help,#ForthepeopleofFukushima,#StopNuclear,"In 2011 there was a nuclear disaster in Fukushima, Japan that was caused by one of the largest earthquakes in Japans history. This led to much exposure to radioactive waste.",#JusticeforFukushima,#HelpFukushima,#NuclearAwareness,#NuclearPlantConsequences,#DisplacementFukushima,#CanEffectYoutoo,#SupportPeople,#EarthquakeDiaster,#GetRidofNuclearPlants,#DonatetoFukushima,12353
6/4/2024 11:29,"In the spring of 2011, a record breaking earthquake resulted in a nuclear disaster in Japan. This monstrosity resulted in dramatic effects, which can still be felt today. A WHO report states that 70% of infant girls later develop thyroid disease.",#nuclear,#disaster,#2011,#global,#WHO,#disease,#earthquake,#radiation,#manmadedisasters,#thyroidcancer,"In the spring of 2011, Japan was hit with two disasters: a record setting earthquake and a nuclear disaster. Over 150,000 people were affected, and the effects of the nuclear disaster can still be felt today. ",#nuclear,#2011,#radioactive,#worldnews,#disaster,#WHO,#tragedy,#earthquake,#march2011,#cancer,65942
6/4/2024 11:28,The Fukashima Nuclear accident that was caused by the Tsunami shows the dangers of nuclear energy and why it should not be utilized.  The environmental damage and harm to future generations is devastating to humanity and the world.,#nuclearenergyunsafe,#thyroidcancer,#tsunamis,#earthquakes,#environmentaldamage,#exclusionzones,#californiacoastradiation,#reactorfailures,#environmentconcerns,#radioactivity,The Fukashima nuclear power accident that was caused by the earthquake in Japan shows how dangerous it is to rely on nuclear power.  The damage done to the environment and to future generations shows that we need to invest in safer alternative energy.,#nuclearenergydanger,#thyroidcancer,#environmentaldamage,#unsafeenergysources,#nucleardisaster,#californiaradiation,#tsunamithreats,#earthquakes,#radioactivityintheocean,#fukashimafallout,45452
6/4/2024 11:56,"The Fukushima nuclear disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan. The exclusion zone resulted in the displacement of approximately 156,000 people in years to follow. May God provide home for the homeless. Because The damage inflict",#nucleardisaster,#2011disaster,#radioactivejapan,#powerfulearthquake,#exclusivezone,#tyriod,#dramaticrisis,#radioactiveisotopes,#radioactiveparticles ,#Tōhokuearthquake,"Reflecting on the Fukushima disaster: a powerful earthquake, devastating tsunami, and nuclear crisis led to widespread displacement and a national energy-saving movement. The impact continues to be felt globally.",#NuclearDisaster,#TsunamiImpact,#RadiationExposure,#EnergyConservation,#ThyroidCancerRisk,#SetsudenMovement,#GlobalEffects,#DisplacementCrisis,#SustainableEnergy,#CrisisResponse,84665
