RecordedDate,tweet1,hashtag1_1,hashtag1_2,hashtag1_3,hashtag1_4,hashtag1_5,hashtag1_6,hashtag1_7,hashtag1_8,hashtag1_9,hashtag1_10,tweet2,hashtag2_1,hashtag2_2,hashtag2_3,hashtag2_4,hashtag2_5,hashtag2_6,hashtag2_7,hashtag2_8,hashtag2_9,hashtag2_10,random ID
4/29/2024 12:02,What a nuclear disaster that is causing a damage to us where we need to take precautions to safeguard ourselves .Well we got to be careful and reduce the radioactivies that ,#Daiichi,#California,#WHO,#Saving electricity,#Fuksushima,#Tsunami,#Japan,#Zone,#Nuclear,#Earthquake,"Fukushima nuclear disaster need to be careful.Why all these disasters such as tsunami,earthquake and others.We got to take actions and precautions as  well to protect our environment and ourselves.I guess i am making some sense guys so lets come together and fight this disasters.",#California,#Fukushima,#Japan,#Tsunami,#Earthquake,#Disaster,#People,#Environment,#WHO,#Individuals,87040
4/29/2024 10:42,"In 2011, Fukushima bore witness to a tragedy of unprecedented scale. As we remember the lives lost and communities shattered, let's commit to a future powered by resilience and renewable energy. #Fukushima #NuclearDisaster #RenewableFuture",#NatureFury,#RememberingLoss,#ResilientCommunities,#DisasterLegacy,#RenewableFuture,#EnergySafety,#EnvironmentalImpact,#NuclearSafety,#CommunityResilience,#FutureForward,"Reflecting on the Fukushima nuclear disaster, a stark reminder of nature's power and human vulnerability. Let's prioritize safety and renewable energy for a resilient future. #Fukushima #NuclearSafety #RenewableEnergy #DisasterPreparedness #CommunityResilience",#NuclearCrisis,#RenewableFuture,#DisasterImpact,#SafetyFirst,#ResilientCommunities,#EnvironmentalRisk,#PublicHealth,#EnergySecurity,#EmergencyResponse,#ClimateResilience,64346
4/29/2024 10:43,Too much energy can have dangerous consequences. Japan's 2011 disaster is a prime example.,#Conserve,#SaveEnergy,#2011Earthquake,#HealthAwareness,#TheFutureGeneration,#setsunda,#WHO,#CancerPrevention,#AllLivesMatter,#Learn,Japan needs your help. Raise awareness to conserve energy.,#aid,#SaveEnergy,#WHO,#2011disaster,#FutureGeneration,#ThinkoftheFuture,#Citizens,#Nuclear,#ProtectThePeople,#AllLivesMatter,36107
4/29/2024 10:44,"2011 nuclear accident in Fukushima, Japan effected everything not only locally, but globally as well. #japan #nuclear #disaster #displacement #radiation",#nuclear,#earthquake,#tsunami,#radioactive,#california,#pacificocean,#damage,#catastrophe,#worldwide,#energyshortage,"Nuclear disaster strikes plant in Fukushima, Japan, effecting the world around.",#earthquake,#tsunami,#nucleardisaster,#california,#radioactive,#global,#radiation,#damage,#exclusionzone,#energyshortage,71855
4/29/2024 10:49,"The Fukushima nuclear disaster took place on March 11, 2011in Fukushima Japan. The disaster was caused by an earthquake that triggered a",#nucleardisaster,#earthquake,#tsunami,#Remember,#nuclearpower,#instadisaster,#why,#compassion,#letsnotforget,#naturedoesntcare,The Fukushima nuclear disaster took place on March 11 2011. It was caused by an earthquake that triggered a tsunami. What are the odds? Nature can be cruel!,#crazy,#nucleardisaster,#powerplant,#whataretheodds,#strangeearth,#radioactive,#radiation,#cancer,#nofatalities,#government,93852
4/29/2024 10:50,the Fukushima disaster is one of the worst nuclear events to happen in modern times. caused by an earthquake in 2011. it has led to the displacement of 156 thousand people and the creation of an exclusion zone that still exists to this day.. ,#history,#nuclear,#disaster ,#fukushima,#earthquake ,#tsunami ,#japan ,#PowerPlant,#Exclusionzone ,#Setsuden ,in 2011 there was a horrible disaster that took place in Japan. the Fukushima nuclear disaster is something that displaced 187 thousand people that are still suffering the effects to this day and created an exclusion zone. . ,#nuclearPlant,#sad ,#disaster ,#tragety ,#tsunami ,#earthquake ,#depressing,#nuclearPowerplant,#157000,#aid ,22587
4/29/2024 10:42,"A true tragedy that happened 13 years ago.  To read the story below and not feel the impact, and likely remember where you were when this happened, would be very tough.  Hopefully, the estimates of the cancer rates are high because it would be horrible if true.  Read below.",#disaster,#tsunami,#radiation,#radiationpoisoning,#radiationCalifornia,#megadisaster,#tsunamitragedy,#hopeforfukushima,#radiationcancer,#raditiontsunami,Super sad tragedy from 2011.  Do you remember where you were when this happened?  Hard to believe it was 13 years ago.,#disaster,#tsunami,#earthquake,#2011,#nuclear,#powerplant,#nucleardisaster,#tsunamijapan,#earthquakejapan,#japan2011,48559
4/29/2024 10:44,The Fukishima nuclear disaster was horrible for mankind. We must allow another tragedy like this occur. It was terrible for all people and wildlife involved. How did this event occur. Who was readu=y for it? I was not. No one really was. Im sorry,#BadMemory,#HorribleStorm,#RememberJapan,#GoodbyeJapan,#WhyFukushima,#IsThisTheEnd,#PeopleDiedHere,#BeGood,#JapanWereWithYou,#FukushimaDisaster ,This is a tragedy in Japan. So many lives are lost now due to nuclear explosions. More must be done with mishap. ,#RememberJapan,#NukesArebad,#Explosion,#Death,#GoodBye,#Salvation,#Popped,#Sad,#Bombed,#Radiation ,86012
4/29/2024 10:41,disaster at Fukushima! authorities impletent 100-foot exclusion zone! Stay tuned for updates #fukushima #tsunami #breaking news,#Setsuden,#nucleardisaster,#breakingnews,#cancer,#radioactive,#conserveenergy,#thyroidcancer,#exclusionzone,#energyshortage,#tsunami,Disaster strikes Japan! Authorities impose 100-foot exclusion zone! ,#tsunami,#disaster,#earthquake,#naturaldisaster,#nucleardisaster,#radioactive,#breakingnews,#conserveenergy,#cancer,#exclusionzone,27125
4/29/2024 10:44,The citizens of Fukushima need support and aid. #Helpthecitizens,#helpthecitizens,#aid,#sad,#depressing,#support,#earthquake,#tsunami,#morehelp,#moresupport,#donate,"The people need help and support from the disaster.
",#donate,#caution,#bad,#sad,#tsunami,#weather,#citizens,#earthquake,#aid,#dangerous,79380
