RecordedDate,tweet1,hashtag1_1,hashtag1_2,hashtag1_3,hashtag1_4,hashtag1_5,hashtag1_6,hashtag1_7,hashtag1_8,hashtag1_9,hashtag1_10,tweet2,hashtag2_1,hashtag2_2,hashtag2_3,hashtag2_4,hashtag2_5,hashtag2_6,hashtag2_7,hashtag2_8,hashtag2_9,hashtag2_10,random ID
4/17/2024 10:49,"The horrible event was caused by an earthquake in Japan. The earthquake caused a tsunami that was one of the biggest tsunamis they had seen, it caused havoc on everything especially the Daiichi Nuclear Power Plant in Fukushima. 156k people will be ",#HorriblesituationinJapan,#Natureinaction,#Mothernaturedoesn'tcare,#StaystrongJapan,#Weareallinthistogether,#Earthquakesdestruction,#Tsunamitheforceofnature,#Nucleardisasters,#Savethenaturefromnuclear,#Whatcouldwedo,Such a horrible situation in Japan following the earthquake that caused a tsunami that wreaked havoc on the whole Island of Japan. The Fukushima nuclear power plant was affected by the tsunami and earthquake which caused a natural disaster.,#staystrong,#tsunami,#earthquake,#prayforjapan,#disaster,#radioactive,#horror,#nature,#mothernature,#tsunamisupport,28861
4/17/2024 10:49,"My heart goes out to Japan and the residents of Fukushima. After a major earthquake which triggered a meltdown at a nuclear powerplant, tens of thousands of people have been displaced.

#Fukashima #Japan #NuclearMeltdown #",#Fukashima,#Japan,#AidForJapan,#NuclearDisaster,#NuclearEnergy,#HelpJapan,#HelpFukashima,#AidForFukashima,#CleanEnergy,#GreenEnergy,My heart goes out to Japan after experiencing both a major earthquake and nuclear disaster.,#NuclearDisater,#Earthquake,#Tsunami,#Radiation,#Setsuden,#NaturalDisaster,#Nuclear,#IrradiatedWater,#Displaced,#CleanEnergy,25644
4/17/2024 10:49,Japan had the WORST time EVER in 2011 when the Daiichi power plant went berserk during a tsunami. #PrayForJapan #EnergyCrisis,#NuclearCatastrophe,#CancerKills,#PowerFail,#BoomBoomPow,#DisasterAbroad,#CancerScares,#PrayForWomen,#NuclearStruggles,#PleaseHelpThem,#SaveAsianLives,Japanese disaster causes cancer scares years later ,#cancer,#tsunami,#earthquake,#disaster,#radiation,#nuclear,#Emergency,#healthscare,#cancerkills,#prayforjapan,55283
4/17/2024 10:49,"Years after the Tohoku earthquake in 2011, Japan is still feeling the lingering effects on the population.",#disaster,#earthquake,#setsuden,#electricity,#energy,#crisis,#radiation,#tsunami,#march11,#2011,"As a result of the 2011 earthquake and tsunami, Japan is still feeling lingering effects on the population. The Setsuden movement was established to save energy.",#setsuden,#earthquake,#tsunami,#crsis,#energy,#nuclear,#radiation,#disaster,#2011,#march11,85754
4/17/2024 10:50,Japan is showing how a community can come together and do the right thing after facing an incredible disaster with the Fukushima reactor.,#community,#strength,#tsunami,#nuclear,#energysaving,#2011,#Daiichi,#Tohoku,#ocean,#disaster ,Japan has shown true resilience and community in the wake of their nuclear disaster.,#Tsunami,#Earthquake,#Flood,#Pain,#Suffering,#Loss,#EnergySaving,#Community,#Nuclear,#Effort,33353
4/17/2024 10:50,Disaster Tsunami causes massive destruction and health concerns in Japan due to damaged nuclear plant. Energy restriction becomes long term goal.,#tsunami,#healthrelief,#saveourgirls,#WaveOfDeath,#HelpTsunamiVictims,#RadiationPoisoning,#HiddenHealthDangers,#AfterTheQuake,#RichterScale,#130FootWaves,Tsunami disaster in Japan causes nuclear meltdown and increase in thyroid cancer risk for girls. ,#DisasterRelief,#HelpJapansGirls,#Meltdown,#Nuclear,#Tsunami,#Earthquake,#NaturalDisaster,#HugeWave,#Donate,#Flooding,28630
4/17/2024 10:50,"The Fukushima disaster of 2011 shook Japan to its core. Triggered by an unprecedented earthquake and tsunami, it left lasting scars on the nation and the world in more ways than just one. #Fukushima #disaster #earthquake #tsunami #Japan",#NuclearDisaster,#EarthquakeTsunami,#RadiationConcerns,#EnergyShortage,#SetsudenMovement,#RadioactiveParticles,#DisplacementCrisis,#ThyroidCancerRisk,#EnergyConservation,#NationalEmergency,Reflecting on the Fukushima disaster of 2011 - a sobering reminder of the devastating impact of natural disasters and the importance of preparedness. #DisasterAwareness #NaturalHazards #Preparedness,#earthquake,#pray,#tsunami,#nuculeardisaster,#disaster,#cancer,#thyroid,#prepardeness ,#hazard,#emergency ,74111
4/17/2024 10:50,An earthquake causes a nuclear catastrophe in Japan.  Radioactivity spreads into the ocean. People are exposed. ,#Nuclear,#Meltdown,#Radiation,#Earthquake,#Electricity,#Meltdown,#EvacuationZone,#Catastrophe,#Powerplant,#Setsuden,A earthquake caused a nuclear catastrophe at a nuclear power plant in Japan.  Radiation contamination resulted.  There are health concerns,#NuclearCatastrophe,#Meltdown,#Tsunami,#Radiation,#EvacuationZone,#NuclearContamination,#OceanContaminated,#ElectricityConcerns,#HealthIssues,#ContaminationZone,71564
4/17/2024 10:51,Not enough people talk about how the Fukushima disaster is still impacting people today. Thousands were displaced from their homes and little girls are still getting cancer because of it. Japan's dramatic action to reduce energy usage afterward is an example we can all follow. ,#nucleardisaster,#displacement,#energy,#earthquake,#tsunami,#setsuden,#saveelectricity,#environment,#energycrisis,#climatechange,"The Fukushima disaster caused a massive displacement in Japan that impacts people to this day. In response, the government imposed setsuden, or the practice of saving energy, to help combat the energy crisis. ",#setsuden,#energy,#earthquake,#tsunami,#disaster,#nuclear,#radioactivity,#displacement,#solveenergycrisis,#politics,96994
4/17/2024 10:51,"This is a terrible disaster that took only minutes , but the effects are felt for a lifetime by those affected. It seems it was caused naturally , but unnatural occurances lead to a disaster.#it's sad #preventable#thi ",#Terrible,#preventable,#horrible,#lastingeffects,#lifetimetragedy,#hurtssomuch,#prayersforall,#hazardous,#deadlyimplications,#painfultimes,"This was a terrible event that seems to have been preventable, terrible lasting effects and hard lesson learned.",#tragedy,#painful,#wasteland,#tears,#lastingeffects,#prayers,#preventable,#holocaust,#unbelievable,#cancer,99058
