,id,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,DecisionType,Cumulative Points
0,1,name,1,erin,3.0,0.0,nan,,,nan,BN,0.0
1,1,name,2,lisa,6.0,0.0,erin,17.0,,molly,BN,0.0
2,1,name,3,dylan,3.0,0.0,lisa,3.0,molly,sarah,BN,0.0
3,1,name,4,layla,10.0,0.0,dylan,16.0,sarah,leah,BN,0.0
4,1,name,5,erin,1.0,0.0,layla,11.0,leah,molly,EC,0.0
5,1,name,6,marry,10.0,0.0,erin,2.0,molly,emily,BN,0.0
6,1,name,7,erin,4.0,0.0,marry,3.0,emily,sarah,EC,0.0
7,1,name,8,sarah,7.0,0.0,erin,10.0,sarah,jess,RP,0.0
8,1,name,9,erin,7.0,0.0,sarah,10.0,jess,sarah,EC,0.0
9,1,name,10,sarah,9.0,1.0,erin,3.0,sarah,sarah,RP,1.0
10,1,name,11,sarah,2.0,0.0,sarah,10.0,sarah,emily,RP,1.0
11,1,name,12,sarah,4.0,0.0,sarah,7.0,emily,emma,RS,1.0
12,1,name,13,erin,3.0,0.0,sarah,6.0,emma,juliette,EC,1.0
13,1,name,14,sarah,7.0,0.0,erin,18.0,juliette,janice,EC,1.0
14,1,name,15,erin,3.0,0.0,sarah,15.0,janice,rachel,EC,1.0
15,1,name,16,sarah,1.0,1.0,erin,5.0,rachel,sarah,EC,2.0
16,1,name,17,sarah,1.0,0.0,sarah,10.0,sarah,emily,RS,2.0
17,1,name,18,sarah,3.0,0.0,sarah,7.0,emily,emily,RS,2.0
18,1,name,19,sarah,3.0,0.0,sarah,5.0,emily,lisa,RS,2.0
19,1,name,20,sarah,9.0,0.0,sarah,12.0,lisa,hailey,RS,2.0
20,1,name,21,sarah,2.0,0.0,sarah,2.0,hailey,emily,RS,2.0
21,1,name,22,eriin,6.0,0.0,sarah,9.0,emily,sarah,BN,2.0
22,1,name,23,sarah,8.0,0.0,eriin,15.0,sarah,emily,RP,2.0
23,1,name,24,sarah,4.0,0.0,sarah,3.0,emily,emily,RS,2.0
24,1,name,25,sarah,3.0,0.0,sarah,13.0,emily,emily,RS,2.0
25,1,name,26,sarah,9.0,0.0,sarah,2.0,emily,emily,RS,2.0
26,1,name,27,sarah,1.0,0.0,sarah,9.0,emily,molly,RS,2.0
27,1,name,28,sarah,8.0,0.0,sarah,17.0,molly,emily,RS,2.0
28,1,name,29,sarah,1.0,0.0,sarah,4.0,emily,hailey,RS,2.0
29,1,name,30,sarah,5.0,0.0,sarah,14.0,hailey,emily,RS,2.0
30,1,name,31,sarah,10.0,0.0,sarah,7.0,emily,emily,RS,2.0
31,1,name,32,sarah,5.0,0.0,sarah,18.0,emily,zoey,RS,2.0
32,1,name,33,sarah,3.0,0.0,sarah,14.0,zoey,emily,RS,2.0
33,1,name,34,sarah,9.0,0.0,sarah,4.0,emily,emily,RS,2.0
34,1,name,35,sarah,2.0,1.0,sarah,6.0,emily,sarah,RS,3.0
35,1,name,36,sarah,5.0,0.0,sarah,15.0,sarah,emily,RS,3.0
36,1,name,37,sarah,8.0,0.0,sarah,20.0,emily,emily,RS,3.0
37,1,name,38,sarah,7.0,1.0,sarah,6.0,emily,sarah,RS,4.0
