,id,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,DecisionType,Cumulative Points
0,1,name,1,susan,1.0,0.0,nan,19,,maria,BN,0.0
1,1,name,2,katie,10.0,0.0,susan,19,maria,alex,BN,0.0
2,1,name,3,katie,9.0,0.0,katie,3,alex,emily,RS,0.0
3,1,name,4,katie,10.0,0.0,katie,2,emily,jessica,RS,0.0
4,1,name,5,katie,7.0,0.0,katie,20,jessica,jessica,RS,0.0
5,1,name,6,jessica,10.0,0.0,katie,3,jessica,emily,RP,0.0
6,1,name,7,katie,1.0,0.0,jessica,2,emily,emily,EC,0.0
7,1,name,8,katie,3.0,0.0,katie,19,emily,olivia,RS,0.0
8,1,name,9,katie,1.0,0.0,katie,20,olivia,jessica,RS,0.0
9,1,name,10,jessica,2.0,0.0,katie,19,jessica,sarah,RP,0.0
10,1,name,11,jessica,7.0,0.0,jessica,19,sarah,jess,RS,0.0
11,1,name,12,jessica,7.0,1.0,jessica,20,jess,jessica,RS,1.0
12,1,name,13,jessica,5.0,0.0,jessica,2,jessica,emily,RP,1.0
13,1,name,14,jessica,3.0,0.0,jessica,19,emily,sarah,RS,1.0
14,1,name,15,jessica,1.0,1.0,jessica,20,sarah,jessica,RS,2.0
15,1,name,16,jessica,5.0,1.0,jessica,19,jessica,jessica,RP,3.0
16,1,name,17,jessica,1.0,1.0,jessica,20,jessica,jessica,RS,4.0
17,1,name,18,jessica,5.0,0.0,jessica,3,jessica,emily,RP,4.0
18,1,name,19,jessica,7.0,0.0,jessica,2,emily,emily,RS,4.0
19,1,name,20,jessica,6.0,0.0,jessica,3,emily,emily,RS,4.0
20,1,name,21,jessica,2.0,0.0,jessica,3,emily,emily,RS,4.0
21,1,name,22,jessica,9.0,0.0,jessica,3,emily,emily,RS,4.0
22,1,name,23,emily,3.0,0.0,jessica,20,emily,jessica,RP,4.0
23,1,name,24,jessica,2.0,0.0,emily,3,jessica,emily,RP,4.0
24,1,name,25,jessica,3.0,0.0,jessica,2,emily,emily,RS,4.0
25,1,name,26,jessica,7.0,0.0,jessica,19,emily,jane,RS,4.0
26,1,name,27,jessica,6.0,0.0,jessica,3,jane,emily,RS,4.0
27,1,name,28,jessica,9.0,0.0,jessica,19,emily,sarah,RS,4.0
28,1,name,29,jessica,2.0,1.0,jessica,20,sarah,jessica,RS,5.0
29,1,name,30,jessica,8.0,1.0,jessica,19,jessica,jessica,RP,6.0
30,1,name,31,jessica,4.0,0.0,jessica,2,jessica,emily,RS,6.0
31,1,name,32,jessica,2.0,0.0,jessica,3,emily,emily,RS,6.0
32,1,name,33,jessica,1.0,0.0,jessica,2,emily,emily,RS,6.0
33,1,name,34,jessica,5.0,0.0,jessica,3,emily,emily,RS,6.0
34,1,name,35,jessica,5.0,0.0,jessica,2,emily,emily,RS,6.0
35,1,name,36,jessica,8.0,1.0,jessica,20,emily,jessica,RS,7.0
36,1,name,37,jessica,5.0,0.0,jessica,3,jessica,emily,RP,7.0
37,1,name,38,jessica,1.0,1.0,jessica,20,emily,jessica,RS,8.0
38,1,name,39,jessica,8.0,0.0,jessica,3,jessica,emily,RP,8.0
39,1,name,40,jessica,5.0,0.0,jessica,3,emily,emily,RS,8.0
40,2,name,1,susan,2.0,0.0,nan,20,,jessica,BN,0.0
41,2,name,2,jessica,1.0,1.0,susan,20,jessica,jessica,RP,1.0
42,2,name,3,jessica,8.0,1.0,jessica,20,jessica,jessica,RP,2.0
43,2,name,4,jessica,10.0,0.0,jessica,1,jessica,katie,RS,2.0
44,2,name,5,katie,8.0,0.0,jessica,4,katie,emily,RP,2.0
45,2,name,6,emily,1.0,1.0,katie,4,emily,emily,RP,3.0
46,2,name,7,emily,1.0,0.0,emily,1,emily,katie,RP,3.0
47,2,name,8,emily,4.0,0.0,emily,20,katie,jessica,RS,3.0
48,2,name,9,emily,2.0,1.0,emily,3,jessica,emily,RS,4.0
49,2,name,10,emily,3.0,1.0,emily,4,emily,emily,RP,5.0
50,2,name,11,emily,8.0,1.0,emily,4,emily,emily,RS,6.0
51,2,name,12,emily,8.0,1.0,emily,4,emily,emily,RS,7.0
52,2,name,13,emily,5.0,0.0,emily,1,emily,jessica,RP,7.0
53,2,name,14,jessica,4.0,0.0,emily,4,jessica,emily,RP,7.0
54,2,name,15,emily,2.0,1.0,jessica,3,emily,emily,RP,8.0
55,2,name,16,emily,6.0,1.0,emily,4,emily,emily,RP,9.0
56,2,name,17,emily,2.0,1.0,emily,3,emily,emily,RS,10.0
57,2,name,18,emily,4.0,0.0,emily,20,emily,jessica,RP,10.0
58,2,name,19,emily,7.0,0.0,emily,1,jessica,jessica,RS,10.0
59,2,name,20,emily,5.0,0.0,emily,20,jessica,jessica,RS,10.0
60,2,name,21,emily,1.0,1.0,emily,4,jessica,emily,RS,11.0
61,2,name,22,emily,8.0,0.0,emily,20,emily,jessica,RS,11.0
62,2,name,23,emily,4.0,1.0,emily,3,jessica,emily,RS,12.0
63,2,name,24,emily,3.0,1.0,emily,4,emily,emily,RS,13.0
64,2,name,25,emily,3.0,0.0,emily,1,emily,jessica,RS,13.0
65,2,name,26,emily,8.0,1.0,emily,3,jessica,emily,RS,14.0
66,2,name,27,emily,7.0,1.0,emily,4,emily,emily,RP,15.0
67,2,name,28,emily,10.0,1.0,emily,3,emily,emily,RS,16.0
68,2,name,29,emily,3.0,1.0,emily,3,emily,emily,RP,17.0
69,2,name,30,emily,9.0,0.0,emily,20,emily,jessica,RP,17.0
70,2,name,31,emily,4.0,0.0,emily,1,jessica,jessica,RS,17.0
71,2,name,32,emily,3.0,1.0,emily,4,jessica,emily,RS,18.0
72,2,name,33,emily,1.0,0.0,emily,1,emily,jessica,RS,18.0
73,2,name,34,emily,6.0,1.0,emily,4,jessica,emily,RS,19.0
74,2,name,35,emily,5.0,0.0,emily,1,emily,jessica,RS,19.0
75,2,name,36,emily,9.0,1.0,emily,3,jessica,emily,RS,20.0
76,2,name,37,emily,4.0,0.0,emily,20,emily,jessica,RS,20.0
77,2,name,38,emily,2.0,1.0,emily,4,jessica,emily,RS,21.0
78,2,name,39,emily,7.0,0.0,emily,20,emily,jessica,RS,21.0
79,2,name,40,emily,6.0,1.0,emily,4,jessica,emily,RS,22.0
80,3,name,1,emily,3.0,0.0,nan,4,,carrie,BN,0.0
81,3,name,2,emily,2.0,1.0,emily,4,carrie,emily,RS,1.0
82,3,name,3,emily,9.0,0.0,emily,1,emily,katie,RS,1.0
