,id,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,DecisionType,Cumulative Points
0,1,hashtag,1,radioactive,1,0.0,nan,2.0,,heartbreaking,BN,0.0
1,1,hashtag,2,sad,3,0.0,radioactive,3.0,heartbreaking,tsunami,BN,0.0
2,1,hashtag,3,tsunami,5,0.0,sad,19.0,tsunami,electricity,RP,0.0
3,1,hashtag,4,earthquake,2,0.0,tsunami,2.0,electricity,devastating,BN,0.0
4,1,hashtag,5,particles,1,0.0,earthquake,2.0,devastating,weneedcleanenergy,BN,0.0
5,1,hashtag,6,setsuden,1,1.0,particles,20.0,weneedcleanenergy,setsuden,BN,1.0
6,1,hashtag,7,electricity,4,0.0,setsuden,19.0,setsuden,setsuden,EC,1.0
7,1,hashtag,8,setsuden,1,0.0,electricity,2.0,setsuden,cleanenergy,RP,1.0
8,1,hashtag,9,cleanenergy,3,0.0,setsuden,19.0,cleanenergy,setsuden,RP,1.0
9,1,hashtag,10,setsuden,9,0.0,cleanenergy,3.0,setsuden,radiation,RP,1.0
10,1,hashtag,11,setsuden,2,1.0,setsuden,19.0,radiation,setsuden,RS,2.0
11,1,hashtag,12,setsuden,6,0.0,setsuden,2.0,setsuden,setsudan,RS,2.0
12,1,hashtag,13,setsuden,10,1.0,setsuden,20.0,setsudan,setsuden,RS,3.0
13,1,hashtag,14,setsuden,1,1.0,setsuden,19.0,setsuden,setsuden,RS,4.0
14,1,hashtag,15,setsuden,7,1.0,setsuden,20.0,setsuden,setsuden,RP,5.0
15,1,hashtag,16,setsuden,10,0.0,setsuden,3.0,setsuden,nuclear,RS,5.0
16,1,hashtag,17,nuclear,3,0.0,setsuden,19.0,nuclear,setsuden,RP,5.0
17,1,hashtag,18,setsuden,3,0.0,nuclear,19.0,setsuden,dangerous,RP,5.0
18,1,hashtag,19,setsuden,6,0.0,setsuden,3.0,dangerous,thyroid,RS,5.0
19,1,hashtag,20,setsuden,3,1.0,setsuden,19.0,thyroid,setsuden,RS,6.0
20,1,hashtag,21,setsuden,7,1.0,setsuden,19.0,setsuden,setsuden,RP,7.0
21,1,hashtag,22,setsuden,10,0.0,setsuden,2.0,setsuden,tragic,RS,7.0
22,1,hashtag,23,setsuden,9,0.0,setsuden,3.0,tragic,dangerous,RS,7.0
23,1,hashtag,24,setsuden,9,0.0,setsuden,2.0,dangerous,standwithfukushima,RS,7.0
24,1,hashtag,25,setsuden,9,1.0,setsuden,3.0,standwithfukushima,setsuden,RS,8.0
25,1,hashtag,26,setsuden,2,0.0,setsuden,2.0,setsuden,nuclear,RS,8.0
26,1,hashtag,27,setsuden,6,0.0,setsuden,3.0,nuclear,nuclear,RS,8.0
27,1,hashtag,28,setsuden,8,1.0,setsuden,20.0,nuclear,setsuden,RS,9.0
28,1,hashtag,29,setsuden,7,0.0,setsuden,3.0,setsuden,nuclear,RP,9.0
