RecordedDate,tweet1,hashtag1_1,hashtag1_2,hashtag1_3,hashtag1_4,hashtag1_5,hashtag1_6,hashtag1_7,hashtag1_8,hashtag1_9,hashtag1_10,tweet2,hashtag2_1,hashtag2_2,hashtag2_3,hashtag2_4,hashtag2_5,hashtag2_6,hashtag2_7,hashtag2_8,hashtag2_9,hashtag2_10,random ID
4/17/2024 11:39,"The natural disaster of Tohoku earthquake caused devastating damage to the nuclean power plant in Fukushima Japan, causing massive changes to the commun",#Earthquake,#Radiation,#ThyroidCancer,#EnergyShortage,#PowerPlantExplosion,#NaturalDisaster,#SetsudenMovement,#SaveEnergy,#2011,#Tsunami,"The natural disaster of Fukushima earthquake caused a great explosion of power plant due to the agitation and creation of tsunamis, causing a lot of damage and changes to the community.",#tsunami,#earthquake,#largewaves,#explosion,#radiation,#isotopesdisruption,#energyshortage,#savingelectricitymovement,#increaseofthyroidcancer,#pacificocean,86769
4/17/2024 11:37,"Fukushima nuclear disaster caused by the MOST powerful earthquake damaged tonnes! 
More than 156000 people affected and radioactive material all over Pacific Ocean ",#ExclusionZone,#Earthquake,#RadioactiveParticles,#Setsuden,#ThyroidCancer,#NuclearDisaster,#Tsunami,#March2011,#ElectricalUsage,#SavingElectricity,"Fukushima Nuclear Disaster dangering over 200000! 
Causing genetic concerns, displacement of Japanese residents and even energy usage of large companies. 
",#NuclearDisaster,#March2011,#ThyroidCancer,#Earthquake,#setsudan,#displacement,#tohokuEarthquake,#exclusionzone,#tsunami,#waves,97214
4/17/2024 11:34,"The Fukushima nuclear disaster in 2011 caused by the Tohoku earthquake, the most powerful earthquake in Japan's history, caused harm on a local and global scale. Radioactive isotopes from a cuclear power plant were leaked into the ocean and infant girls in Japan got cancer.",#japanesehistory,#nucleardisasterjapan,#radioactivewaste,#japanesenuclearpowerplant,#nuclearwaste,#earthquakeaftermath,#japanstrong,#radioactiveinducedcancer,#fukushimanucleardisaster,#daicchinuclearpowerplant,the destruction and consequences of nuclear waste is made evident from the radioactive waste found in the pacific ocean and the cancer amongst infant Japanese girls.,#radioactiveeffects,#earthquakeinducednuclearwaste,#japanstrong,#radioactiveharm,#japanearthquake,#fukushimaeffects,#japanspostearthquakestruggle,#rememberingfukushima,#2011nuclearwastedisaster,#powerplant,30484
4/17/2024 11:40,"Have you guys heard about the massive nuclear disaster in Japan back about 10 years ago in 2011? There was a massive accident at this power plan in Fukushima that was caused by this massive earthquake, actually the biggest earthquake in Japan ",#remember,#naturaldisaster,#earthquakedistruction,#helpthepeople ,#history,#tsunami,#Japan,#powerplant,#earthquake,#Fukushima,There was a massive earthquake in Japan that caused a big tsunami and a power plant disaster. Many people had to move homes and were displaced and lots of destruction and chaos was caused from the incident. ,tsunami ,#naturaldisaster ,#japannaturaldisaster ,#nuclearplantdisaster ,#helpthepeople,#earthquake,#Japanearthquakedisaster ,#japandisaster ,japantsunamidisaster ,#tsunamidisaster ,83337
4/17/2024 11:40,The Tsunami that happened in Fukushima is desastrous. Thousands of people had to be moved from their home and we don't even know the long-term consequences of radiation on the population ...,#Setsuden,#Nuclear,#Tsunami,#Earthquake,#Radiation,#Tragedy,#Health,#Irradiation,#Incident,#Energy,"There was an earthquake in Fukushima. A nuclear factory exploded as a result. This is a tragic event for all the local population, faced with damage of irradiation. ",#earthquake,#tsunami,#nuclear,#radiation,#health,#population,#incident,#explosion,#failure,#default,19315
4/17/2024 11:37,"This is a tragedy, I have so much empathy for the people who had to go through this. I hope they can come together as one",#heartbreaking,#loss,#radiation,#needhelp,#donate,#tsunami,#communitystrength,#survivor ,#tragety,#savingelectricity,"This was a tragedy, I cannot believe that the earthquake caused a tsunami in japan.",#tsunami,#eathquake,#radiation,#survivor,#tsunami2011,#earthquake2011,#tragedy,#cancer,#radioactive,#scary,57771
4/17/2024 11:37,"Significant lasting consequences of Fukushima nuclear disaster, induced by Tōhoko earthquake in 2011. Damages encouraged Japanese media campaigns to push for cuts on electrical usage throughout Japan, later resulting in policies to reduce energy consumption. ",#Tōhokuearthquake,#nuclearplant,#radiation,#energyconsumption,#tsunami,#battery,#nucleardisaster,#energyuse,#nuclearenergy,#thyroidcancer,"Tōhoku earthquake and tsunami had drastic consequences, including damage to a nuclear energy site in Japan. Individuals 156000 individuals were displaced and faced health consequences including thyroid cancer.",#Tōhukoearthquake,#earthquake,#tsunami,#radioactive,#nuclearenergy,#flee,#danger,#wave,#damage,#nuclear,93268
4/17/2024 11:37,"The Fukushima nuclear disaster was caused by the Took earthquake in 2011. As a result, radioactive isotopes were released into the sea, and a 100 ft exclusion zone was implemented. The exclusion zone displaced 156k people, some of whom have been affected by the ",#exclusionzone,#radioactive,#radiation,#energyshortage,#Setsuden,#saveelectricity,#energyconsumption,#nucleardisaster,#DaiichiNuclearPowerPlant,#earthquake,The 2011 earthquake in Japan caused a nuclear disaster. Radioactive isotopes were released into the sea and a 100 ft exclusion zone was implemented. Many babies affected by the radiation had an inc risk of developing cancer. The government developed policies to save energy. ,#earthquake,#nucleardisaster,#radioactive,#exclusionzone,#affected,#saveenergy,#radiation,#cancer,#powerplant,#tsunami,73204
4/17/2024 11:37,I wanted to say my condolences for the innocent citizens of Japan who have had to suffer not just from radiation but also from lack of .,#Disaster,#NuclearAccident,#Energy,#Radiation,#Leakage,#Earthquake,#Tsunami,#EnergyCrisis,#EnergyShortage,#Cancer,"I wish to express my condolences for the people of Japan who have to suffer through earthquakes, energy crises, tsunamis, and now radiation.",#Disaster,#Earthquake,#Tsunami,#Energy,#Radiation,#Cancer,#Radioactive,#Nuclear,#SaveEnergy,#PowerPlant,36697
4/17/2024 11:37,Nuclear disaster in Fukushima destroys families' homes. Help those in need today! #housing #helpfukushima,#disaster,#nuclear,#dangersofnuclearenergy,#tragedy,#assistancerequired,#helptoday,#japan,#nucleardisaster,#boom,#helpjapan,Fukushima destroyed over nuclear powerplant tragedy! Need assistance today,#earthquake,#tsunami,#help,#assistance,#housing,#disaster,#tragedy,#nucleardisaster,#japanneedshelp,#housingrelief,75736
