,id,random ID,ResponseType,TrialNumber,Response,Group,Condition,Run,Hashtag,Most Similar Segment,Segment Index,Similarity Score,Size
0,0,17013,hashtag,1,fukushima,8.0,Experimental,1en,fukushima,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.6575939655303955,20
1,1,97413,hashtag,1,dihatsudesaster,9.0,Experimental,1en,dihatsudesaster,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.14230294525623322,20
2,2,56281,hashtag,1,nuclear,2.0,Experimental,1en,nuclear,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.4157990515232086,20
3,3,83720,hashtag,1,nucleardisaster,7.0,Experimental,1en,nucleardisaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3794649839401245,20
4,4,91363,hashtag,1,nuclearwaste,10.0,Experimental,1en,nuclearwaste,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3542982339859009,20
5,5,33839,hashtag,1,nucleardisaster,9.0,Experimental,1en,nucleardisaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.3794649839401245,20
6,6,78472,hashtag,1,disaster_fukushima_nuclear_plant,4.0,Experimental,1en,disaster_fukushima_nuclear_plant,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.6619433164596558,20
7,7,46039,hashtag,1,tsunami,10.0,Experimental,1en,tsunami,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.6427018642425537,20
8,8,48321,hashtag,1,disaster,5.0,Experimental,1en,disaster,"The Fukushima Nuclear Disaster was a 2011 nuclear accident at the Daiichi Nuclear Power Plant in Fukushima, Japan.",0,0.39380142092704773,20
9,9,82824,hashtag,1,earthquakestakelives,3.0,Experimental,1en,earthquakestakelives,"The cause was the Tōhoku earthquake on March 11, 2011, the most powerful earthquake ever recorded in Japan.",1,0.4469898045063019,20
10,10,90921,hashtag,1,tsunami,8.0,Experimental,1en,tsunami,"It triggered a tsunami with waves up to 130 feet tall, with 45-foot tall waves causing direct damage.",2,0.6427018642425537,20
