,id,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,DecisionType,Cumulative Points
0,1,name,1,daisy,1.0,0.0,nan,2.0,,lilly,BN,0.0
1,1,name,2,taylor,4.0,0.0,daisy,10.0,lilly,kate,BN,0.0
2,1,name,3,wendy,10.0,0.0,taylor,7.0,kate,megan,BN,0.0
3,1,name,4,rachel,2.0,0.0,wendy,5.0,megan,grace,BN,0.0
4,1,name,5,mia,2.0,0.0,rachel,2.0,grace,brittany,BN,0.0
5,1,name,6,luna,6.0,0.0,mia,9.0,brittany,jess,BN,0.0
6,1,name,7,zoe,5.0,0.0,luna,2.0,jess,melanie,BN,0.0
7,1,name,8,dakota,7.0,0.0,zoe,4.0,melanie,kristen,BN,0.0
8,1,name,9,kristen,4.0,0.0,dakota,11.0,kristen,sarah,RP,0.0
9,1,name,10,kristen,5.0,0.0,kristen,13.0,sarah,sarah,RS,0.0
10,1,name,11,sarah,10.0,1.0,kristen,19.0,sarah,sarah,RP,1.0
11,1,name,12,sarah,6.0,0.0,sarah,11.0,sarah,kai,RP,1.0
12,1,name,13,kai,3.0,0.0,sarah,4.0,kai,nicole,RP,1.0
13,1,name,14,kai,1.0,0.0,kai,8.0,nicole,emma,RS,1.0
14,1,name,15,kai,8.0,0.0,kai,8.0,emma,emma,RS,1.0
15,1,name,16,emma,6.0,1.0,kai,8.0,emma,emma,RP,2.0
16,1,name,17,emma,4.0,0.0,emma,17.0,emma,sarah,RS,2.0
17,1,name,18,grace,10.0,0.0,emma,4.0,sarah,jane,EC,2.0
18,1,name,19,jane,4.0,0.0,grace,9.0,jane,jess,RP,2.0
19,1,name,20,jess,1.0,0.0,jane,5.0,jess,emma,RP,2.0
20,1,name,21,jess,9.0,0.0,jess,2.0,emma,melody,RS,2.0
21,1,name,22,tess,10.0,0.0,jess,3.0,melody,terra,BN,2.0
22,1,name,23,terra,3.0,0.0,tess,18.0,terra,emma,RP,2.0
23,1,name,24,tess,7.0,0.0,terra,12.0,emma,jess,EC,2.0
24,1,name,25,jess,10.0,0.0,tess,18.0,jess,emma,RP,2.0
25,1,name,26,sadie,4.0,0.0,jess,6.0,emma,emily,BN,2.0
26,1,name,27,emma,10.0,0.0,sadie,2.0,emily,lily,EC,2.0
27,1,name,28,lily,2.0,0.0,emma,6.0,lily,sarah,RP,2.0
28,1,name,29,emma,3.0,1.0,lily,18.0,sarah,emma,EC,3.0
29,1,name,30,wendy,8.0,0.0,emma,11.0,emma,emmanuela,EC,3.0
30,1,name,31,gwen,3.0,0.0,wendy,10.0,emmanuela,jess,BN,3.0
31,1,name,32,jess,10.0,0.0,gwen,2.0,jess,meghan,RP,3.0
32,1,name,33,meghan,4.0,0.0,jess,10.0,meghan,jess,RP,3.0
