,id,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,DecisionType,Cumulative Points
0,1,name,1,young,8.0,0.0,nan,3.0,,emily,BN,0.0
1,1,name,2,emily,24.0,0.0,young,49.0,emily,girl,RP,0.0
2,1,name,3,lady,19.0,0.0,emily,2.0,girl,amber,BN,0.0
3,1,name,4,woman,15.0,0.0,lady,3.0,amber,julia,BN,0.0
4,1,name,5,redhead,19.0,0.0,woman,49.0,julia,quinn,BN,0.0
5,1,name,6,claire,18.0,0.0,redhead,3.0,quinn,jane,BN,0.0
6,1,name,7,teresa,21.0,0.0,claire,,jane,nan,BN,0.0
7,1,name,9,jeanine,15.0,0.0,teresa,49.0,,sarah,BN,0.0
8,1,name,10,tracy,9.0,0.0,jeanine,49.0,sarah,jeannie,BN,0.0
9,1,name,11,dawn,9.0,0.0,tracy,49.0,jeannie,brittney,BN,0.0
10,1,name,12,penny,21.0,0.0,dawn,49.0,brittney,stacy,BN,0.0
11,1,name,13,annie,10.0,0.0,penny,49.0,stacy,catherine,BN,0.0
12,1,name,14,danielle,15.0,0.0,annie,2.0,catherine,alice,BN,0.0
13,1,name,15,wanda,3.0,0.0,danielle,2.0,alice,alice,BN,0.0
14,1,name,16,brady,4.0,0.0,wanda,49.0,alice,dara,BN,0.0
15,1,name,17,gigi,7.0,0.0,brady,2.0,dara,amber,BN,0.0
16,1,name,18,fran,6.0,0.0,gigi,3.0,amber,amber,BN,0.0
17,1,name,19,bea,22.0,0.0,fran,49.0,amber,sara,BN,0.0
18,1,name,20,henrietta,23.0,0.0,bea,,sara,nan,BN,0.0
19,1,name,21,iris,2.0,0.0,henrietta,2.0,,amber,BN,0.0
20,1,name,22,katherine,14.0,0.0,iris,2.0,amber,amber,BN,0.0
21,1,name,23,lisa,24.0,0.0,katherine,49.0,amber,kim,BN,0.0
22,1,name,24,kim,7.0,0.0,lisa,49.0,kim,lisa,RP,0.0
23,1,name,25,lisa,18.0,0.0,kim,2.0,lisa,amber,RP,0.0
24,1,name,26,amber,16.0,1.0,lisa,3.0,amber,amber,RP,1.0
25,1,name,27,laura,18.0,0.0,amber,3.0,amber,amber,BN,1.0
