,id,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,DecisionType,Cumulative Points
0,1,hashtag,1,fukufucked,21,0.0,nan,33.0,,nucleardisastor,BN,0.0
1,1,hashtag,2,prayforjapan,17,0.0,fukufucked,43.0,nucleardisastor,45ftwave,BN,0.0
2,1,hashtag,3,stopcancerrates,21,0.0,prayforjapan,18.0,45ftwave,tsunami,BN,0.0
3,1,hashtag,4,largetsunami,21,0.0,stopcancerrates,37.0,tsunami,japanstrong,BN,0.0
4,1,hashtag,5,prayforthechildren,22,0.0,largetsunami,50.0,japanstrong,exclusionzone,BN,0.0
5,1,hashtag,6,japanhelpbrowhttopicareyougonafocuson,20,0.0,prayforthechildren,41.0,exclusionzone,nucleardisaster,BN,0.0
6,1,hashtag,7,nuclearrisk,24,0.0,japanhelpbrowhttopicareyougonafocuson,46.0,nucleardisaster,largetsunami,BN,0.0
7,1,hashtag,8,helpjapanskids,12,0.0,nuclearrisk,27.0,largetsunami,nuclear,BN,0.0
8,1,hashtag,9,nuclear,19,0.0,helpjapanskids,25.0,nuclear,evacuation,RP,0.0
9,1,hashtag,10,japannuclear,13,0.0,nuclear,25.0,evacuation,tsunami,BN,0.0
10,1,hashtag,11,tsunamijapan,14,0.0,japannuclear,26.0,tsunami,prayforjapan,BN,0.0
11,1,hashtag,12,prayersforjapan,6,0.0,tsunamijapan,43.0,prayforjapan,climatechange,BN,0.0
12,1,hashtag,13,helpthechildren,17,0.0,prayersforjapan,13.0,climatechange,lightindarkness,BN,0.0
13,1,hashtag,14,exclusionzpne,22,0.0,helpthechildren,44.0,lightindarkness,nucleardisaster6,BN,0.0
14,1,hashtag,15,shimasaki,16,0.0,exclusionzpne,25.0,nucleardisaster6,fatalities,BN,0.0
15,1,hashtag,16,lostlife,4,0.0,shimasaki,31.0,fatalities,disaster,BN,0.0
16,1,hashtag,17,japandisaster,25,0.0,lostlife,49.0,disaster,nucleardisaster10,BN,0.0
17,1,hashtag,18,japanhorror,16,0.0,japandisaster,26.0,nucleardisaster10,prayforjapan,BN,0.0
18,1,hashtag,19,prayjapan,8,0.0,japanhorror,32.0,prayforjapan,nucleardisaster,BN,0.0
19,1,hashtag,20,prayerforjapan,1,0.0,prayjapan,48.0,nucleardisaster,nucleardisaster,BN,0.0
20,1,hashtag,21,nucleardisaster,22,0.0,prayerforjapan,38.0,nucleardisaster,twentyeleven,RP,0.0
21,1,hashtag,22,japandisaster,20,0.0,nucleardisaster,45.0,twentyeleven,rememberfukushima,EC,0.0
22,1,hashtag,23,rememberjapan2012,1,0.0,japandisaster,18.0,rememberfukushima,nucleardisaster,BN,0.0
23,1,hashtag,24,nuclearscare,19,0.0,rememberjapan2012,43.0,nucleardisaster,nucleardisaster,BN,0.0
24,1,hashtag,25,nucleardisaster,25,1.0,nuclearscare,11.0,nucleardisaster,nucleardisaster,RP,1.0
25,1,hashtag,26,nucleardisaster,11,0.0,nucleardisaster,21.0,nucleardisaster,nuclearenergycrisis,RP,1.0
26,1,hashtag,27,nucleardisaster,14,1.0,nucleardisaster,31.0,nuclearenergycrisis,nucleardisaster,RS,2.0
27,1,hashtag,28,nucleardisaster,18,0.0,nucleardisaster,19.0,nucleardisaster,nucleardisaster21,RS,2.0
28,1,hashtag,29,nucleardisaster,6,0.0,nucleardisaster,28.0,nucleardisaster21,rememberfukushima,RS,2.0
29,1,hashtag,30,nucleardisaster,3,1.0,nucleardisaster,37.0,rememberfukushima,nucleardisaster,RS,3.0
30,1,hashtag,31,nucleardisaster,14,0.0,nucleardisaster,16.0,nucleardisaster,thyroidcancer,RP,3.0
31,1,hashtag,32,nucleardisaster,2,1.0,nucleardisaster,8.0,thyroidcancer,nucleardisaster,RS,4.0
32,1,hashtag,33,nucleardisaster,2,1.0,nucleardisaster,13.0,nucleardisaster,nucleardisaster,RP,5.0
33,1,hashtag,34,nucleardisaster,18,1.0,nucleardisaster,26.0,nucleardisaster,nucleardisaster,RS,6.0
34,1,hashtag,35,nucleardisaster,7,1.0,nucleardisaster,27.0,nucleardisaster,nucleardisaster,RP,7.0
35,1,hashtag,36,nucleardisaster,9,0.0,nucleardisaster,19.0,nucleardisaster,nucleardisaster2,RP,7.0
36,1,hashtag,37,nucleardisaster,19,1.0,nucleardisaster,40.0,nucleardisaster2,nucleardisaster,RS,8.0
