,id,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,DecisionType,Cumulative Points
0,1,hashtag,1,setsudenmovement,11,0.0,nan,49.0,,nuclearsafety,BN,0.0
1,1,hashtag,2,nuclearaccident,25,0.0,setsudenmovement,,nuclearsafety,nan,BN,0.0
2,1,hashtag,3,nuclearaccident,15,0.0,nuclearaccident,49.0,,disaster,RS,0.0
3,1,hashtag,4,nuclear,25,0.0,nuclearaccident,,disaster,nan,BN,0.0
4,1,hashtag,5,nuclear,22,0.0,nuclear,3.0,,tsunami,RS,0.0
5,1,hashtag,6,accident,6,0.0,nuclear,3.0,tsunami,tsunami,BN,0.0
6,1,hashtag,7,tsunami,18,0.0,accident,49.0,tsunami,healingjapan,RP,0.0
7,1,hashtag,8,tsunami,23,0.0,tsunami,49.0,healingjapan,staystrong,RS,0.0
8,1,hashtag,9,nucleardisaster,11,0.0,tsunami,49.0,staystrong,globalsupportforjapan,BN,0.0
9,1,hashtag,10,tragedy,5,0.0,nucleardisaster,2.0,globalsupportforjapan,who,BN,0.0
10,1,hashtag,11,nuclear,1,0.0,tragedy,50.0,who,cancer,EC,0.0
11,1,hashtag,12,hope,15,0.0,nuclear,2.0,cancer,earthquake,BN,0.0
12,1,hashtag,13,earthquake,13,0.0,hope,50.0,earthquake,survivors,RP,0.0
13,1,hashtag,14,tsunami,4,0.0,earthquake,49.0,survivors,311tsunami,EC,0.0
14,1,hashtag,15,nuclear,14,0.0,tsunami,3.0,311tsunami,tsunami,EC,0.0
15,1,hashtag,16,tsunami,13,0.0,nuclear,49.0,tsunami,japanearthquake2011,RP,0.0
16,1,hashtag,17,tsunami,16,0.0,tsunami,50.0,japanearthquake2011,daiichi_nuclear_plant,RS,0.0
17,1,hashtag,18,tsunami,23,0.0,tsunami,50.0,daiichi_nuclear_plant,neverforget,RS,0.0
18,1,hashtag,19,earthquake,6,0.0,tsunami,50.0,neverforget,tsunami,EC,0.0
19,1,hashtag,20,tsunami,20,1.0,earthquake,2.0,tsunami,tsunami,RP,1.0
20,1,hashtag,21,tsunami,16,1.0,tsunami,3.0,tsunami,tsunami,RS,2.0
21,1,hashtag,22,tsunami,20,0.0,tsunami,49.0,tsunami,nuclear,RP,2.0
22,1,hashtag,23,tsunami,6,1.0,tsunami,49.0,nuclear,tsunami,RS,3.0
