,id,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,DecisionType,Cumulative Points
0,1,name,1,stephanie,5.0,0.0,nan,29.0,,taylor,BN,0.0
1,1,name,2,taylor,8.0,0.0,stephanie,37.0,taylor,karen,RP,0.0
2,1,name,3,karen,4.0,0.0,taylor,3.0,karen,mary,RP,0.0
3,1,name,4,lauren,7.0,0.0,karen,39.0,mary,emily,BN,0.0
4,1,name,5,emily,12.0,0.0,lauren,29.0,emily,stephanie,RP,0.0
5,1,name,6,emily,11.0,0.0,emily,46.0,stephanie,sara,RS,0.0
6,1,name,7,emily,17.0,0.0,emily,8.0,sara,amanda,RS,0.0
7,1,name,8,emily,7.0,0.0,emily,4.0,amanda,amanda,RS,0.0
8,1,name,9,emily,9.0,0.0,emily,17.0,amanda,molly,RS,0.0
9,1,name,10,emily,12.0,0.0,emily,32.0,molly,karen,RS,0.0
10,1,name,11,emily,23.0,0.0,emily,45.0,karen,amy,RS,0.0
11,1,name,12,emily,3.0,1.0,emily,45.0,amy,emily,RS,1.0
12,1,name,13,amber,23.0,0.0,emily,15.0,emily,emma,BN,1.0
13,1,name,14,emily,16.0,0.0,amber,49.0,emma,sara,EC,1.0
14,1,name,15,amber,16.0,0.0,emily,14.0,sara,emily,EC,1.0
15,1,name,16,emily,2.0,1.0,amber,4.0,emily,emily,RP,2.0
16,1,name,17,emily,2.0,0.0,emily,29.0,emily,amy,RS,2.0
17,1,name,18,emily,14.0,1.0,emily,8.0,amy,emily,RS,3.0
18,1,name,19,emily,7.0,1.0,emily,5.0,emily,emily,RP,4.0
19,1,name,20,emily,2.0,0.0,emily,32.0,emily,karen,RS,4.0
20,1,name,21,emily,20.0,1.0,emily,17.0,karen,emily,RS,5.0
21,1,name,22,emily,9.0,1.0,emily,35.0,emily,emily,RP,6.0
22,1,name,23,emily,18.0,1.0,emily,34.0,emily,emily,RS,7.0
23,1,name,24,emily,20.0,1.0,emily,28.0,emily,emily,RS,8.0
24,1,name,25,emily,20.0,1.0,emily,42.0,emily,emily,RP,9.0
25,1,name,26,emily,4.0,1.0,emily,2.0,emily,emily,RS,10.0
26,1,name,27,emily,21.0,1.0,emily,17.0,emily,emily,RP,11.0
27,1,name,28,emily,22.0,1.0,emily,37.0,emily,emily,RS,12.0
28,1,name,29,emily,22.0,1.0,emily,15.0,emily,emily,RP,13.0
29,1,name,30,emily,7.0,1.0,emily,26.0,emily,emily,RP,14.0
30,1,name,31,emily,19.0,1.0,emily,3.0,emily,emily,RS,15.0
