,id,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,DecisionType,Cumulative Points
0,1,hashtag,1,japanesehistory,6,0.0,nan,18,,fukushima,BN,0.0
1,1,hashtag,2,nucleardisaster,4,0.0,japanesehistory,9,fukushima,fukushimadisaster,BN,0.0
2,1,hashtag,3,japanesehistory,8,0.0,nucleardisaster,11,fukushimadisaster,nuclearplant,EC,0.0
3,1,hashtag,4,nucleardisaster,4,0.0,japanesehistory,18,nuclearplant,isotopes,EC,0.0
4,1,hashtag,5,nuclearradiation,3,0.0,nucleardisaster,5,isotopes,disaster,BN,0.0
5,1,hashtag,6,fukushimadisaster,9,0.0,nuclearradiation,15,disaster,tsunami,EC,0.0
6,1,hashtag,7,radiation,4,0.0,fukushimadisaster,18,tsunami,thyroid,BN,0.0
7,1,hashtag,8,nuclearradiation,9,0.0,radiation,4,thyroid,disaster,EC,0.0
8,1,hashtag,9,japanesehistory,7,0.0,nuclearradiation,20,disaster,2011,EC,0.0
9,1,hashtag,10,nucleardisaster,5,0.0,japanesehistory,10,2011,disaster,EC,0.0
10,1,hashtag,11,radiationisotopes,8,0.0,nucleardisaster,6,disaster,radioactiveparticles,BN,0.0
11,1,hashtag,12,radioactiveisotopes,9,0.0,radiationisotopes,20,radioactiveparticles,45footwaves,BN,0.0
12,1,hashtag,13,naturaldisaster,4,0.0,radioactiveisotopes,12,45footwaves,disaster,BN,0.0
13,1,hashtag,14,earthquake,5,0.0,naturaldisaster,7,disaster,disaster,BN,0.0
14,1,hashtag,15,tohokuearthquake,6,0.0,earthquake,15,disaster,disaster,BN,0.0
15,1,hashtag,16,disaster,7,0.0,tohokuearthquake,3,disaster,japandisaster,RP,0.0
16,1,hashtag,17,disaster,8,1.0,disaster,4,japandisaster,disaster,RS,1.0
17,1,hashtag,18,disaster,8,0.0,disaster,16,disaster,tragedy,RS,1.0
18,1,hashtag,19,disaster,2,1.0,disaster,5,tragedy,disaster,RS,2.0
19,1,hashtag,20,disaster,7,1.0,disaster,18,disaster,disaster,RS,3.0
20,1,hashtag,21,disaster,2,0.0,disaster,10,disaster,radiation,RS,3.0
21,1,hashtag,22,disaster,10,1.0,disaster,4,radiation,disaster,RS,4.0
22,1,hashtag,23,disaster,6,1.0,disaster,5,disaster,disaster,RS,5.0
23,1,hashtag,24,disaster,4,1.0,disaster,19,disaster,disaster,RP,6.0
24,1,hashtag,25,disaster,5,0.0,disaster,11,disaster,climate,RS,6.0
25,1,hashtag,26,disaster,1,1.0,disaster,15,climate,disaster,RS,7.0
26,1,hashtag,27,disaster,6,1.0,disaster,12,disaster,disaster,RP,8.0
27,1,hashtag,28,disaster,7,1.0,disaster,10,disaster,disaster,RP,9.0
28,1,hashtag,29,disaster,6,1.0,disaster,3,disaster,disaster,RS,10.0
29,1,hashtag,30,disaster,2,0.0,disaster,15,disaster,radiationleak,RS,10.0
30,1,hashtag,31,disaster,4,1.0,disaster,19,radiationleak,disaster,RS,11.0
31,1,hashtag,32,disaster,3,0.0,disaster,13,disaster,critical,RP,11.0
32,1,hashtag,33,disaster,7,1.0,disaster,3,critical,disaster,RS,12.0
33,1,hashtag,34,disaste,2,0.0,disaster,17,disaster,authorities,BN,12.0
34,1,hashtag,35,disaster,7,1.0,disaste,15,authorities,disaster,EC,13.0
35,1,hashtag,36,disaster,5,1.0,disaster,4,disaster,disaster,RS,14.0
36,1,hashtag,37,disaster,3,1.0,disaster,5,disaster,disaster,RP,15.0
37,1,hashtag,38,disaster,7,0.0,disaster,20,disaster,savingelectricity,RP,15.0
38,1,hashtag,39,disaster,4,0.0,disaster,17,savingelectricity,miles,RS,15.0
39,1,hashtag,40,disaster,6,0.0,disaster,17,miles,radioactiveparticles,RS,15.0
