,id,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,DecisionType,Cumulative Points
0,1,hashtag,2,earthquaketsunami,10,0.0,nan,3.0,,magnitude,BN,0.0
1,1,hashtag,3,nuclearcrisis,3,0.0,earthquaketsunami,20.0,magnitude,japanisgone,BN,0.0
2,1,hashtag,4,radiationeffects,9,0.0,nuclearcrisis,3.0,japanisgone,tremors,BN,0.0
3,1,hashtag,5,shortage,3,0.0,radiationeffects,2.0,tremors,horrible,BN,0.0
4,1,hashtag,7,renewable,1,0.0,shortage,19.0,,nucleardisaster,BN,0.0
5,1,hashtag,8,nuclearsafety,3,0.0,renewable,3.0,nucleardisaster,disaster,BN,0.0
6,1,hashtag,9,environmentalcrisis,4,0.0,nuclearsafety,3.0,disaster,tremble,BN,0.0
7,1,hashtag,10,energyconsumption,8,0.0,environmentalcrisis,19.0,tremble,fukashima,BN,0.0
8,1,hashtag,11,disasterawareness,6,0.0,energyconsumption,19.0,fukashima,130ftwaves,BN,0.0
9,1,hashtag,12,resilientcommunities,1,0.0,disasterawareness,20.0,130ftwaves,live,BN,0.0
10,1,hashtag,13,renewablefuture,5,0.0,resilientcommunities,20.0,live,killed,BN,0.0
11,1,hashtag,14,energyconservation,6,0.0,renewablefuture,2.0,killed,madness,BN,0.0
12,1,hashtag,15,emergencyrelief,4,0.0,energyconservation,20.0,madness,popped,BN,0.0
13,1,hashtag,16,renewableinitiatives,1,0.0,emergencyrelief,3.0,popped,japaneseearthquake,BN,0.0
14,1,hashtag,17,nuclearregulation,10,0.0,renewableinitiatives,3.0,japaneseearthquake,accident,BN,0.0
15,1,hashtag,18,accident,3,0.0,nuclearregulation,19.0,accident,climatehoax,RP,0.0
16,1,hashtag,19,environmentalhealth,1,0.0,accident,19.0,climatehoax,nuclearfallout,BN,0.0
17,1,hashtag,20,energyefficiency,1,0.0,environmentalhealth,3.0,nuclearfallout,aftershock,BN,0.0
18,1,hashtag,21,naturaldisaster,7,0.0,energyefficiency,19.0,aftershock,nucleardisaster,BN,0.0
19,1,hashtag,22,renewableresources,5,0.0,naturaldisaster,20.0,nucleardisaster,explosion,BN,0.0
20,1,hashtag,23,disasterrecovery,4,0.0,renewableresources,20.0,explosion,renewedenergy,BN,0.0
21,1,hashtag,24,emergencymanagement,8,0.0,disasterrecovery,3.0,renewedenergy,devastating,BN,0.0
22,1,hashtag,25,energypolicy,7,0.0,emergencymanagement,2.0,devastating,mad,BN,0.0
23,1,hashtag,26,climateimpact,4,0.0,energypolicy,19.0,mad,nucleardisaster,BN,0.0
24,1,hashtag,27,renewablesolutions,5,0.0,climateimpact,19.0,nucleardisaster,climateimpact,BN,0.0
25,1,hashtag,28,radiationexposure,4,0.0,renewablesolutions,2.0,climateimpact,destroy,BN,0.0
26,1,hashtag,29,powerplantdamage,8,0.0,radiationexposure,2.0,destroy,harmful,BN,0.0
27,1,hashtag,30,emergencyresponse,4,0.0,powerplantdamage,3.0,harmful,aftershocks,BN,0.0
28,1,hashtag,31,healthconcerns,7,0.0,emergencyresponse,19.0,aftershocks,nucleardisaster,BN,0.0
29,1,hashtag,32,disasterpreparedness,7,0.0,healthconcerns,3.0,nucleardisaster,reliefefforts,BN,0.0
30,1,hashtag,33,communityrecovery,4,0.0,disasterpreparedness,19.0,reliefefforts,nucleardisaster,BN,0.0
31,1,hashtag,34,radioactiveparticles,3,0.0,communityrecovery,2.0,nucleardisaster,epic,BN,0.0
32,1,hashtag,35,radioactiveparticles,9,0.0,radioactiveparticles,20.0,epic,tragic,RS,0.0
33,1,hashtag,36,safetyawareness,9,0.0,radioactiveparticles,2.0,tragic,tears,BN,0.0
34,1,hashtag,37,nucleardisplacement,10,0.0,safetyawareness,19.0,tears,badlives,BN,0.0
35,1,hashtag,38,nuclearemergency,9,0.0,nucleardisplacement,19.0,badlives,nucleardisplacement,BN,0.0
36,1,hashtag,39,radiationrisk,10,0.0,nuclearemergency,2.0,nucleardisplacement,shock,BN,0.0
37,1,hashtag,40,renewableprogress,8,0.0,radiationrisk,20.0,shock,pleased,BN,0.0
38,2,hashtag,4,diaster,8,0.0,nan,20.0,,timesaregone,BN,0.0
39,2,hashtag,5,horrible,3,0.0,diaster,1.0,timesaregone,shortage,BN,0.0
40,2,hashtag,6,harmful,3,0.0,horrible,20.0,shortage,peoplegone,BN,0.0
41,2,hashtag,7,sad,2,0.0,harmful,20.0,peoplegone,terrible,BN,0.0
42,2,hashtag,8,radioactive,2,0.0,sad,20.0,terrible,mad,BN,0.0
43,2,hashtag,9,upset,3,0.0,radioactive,20.0,mad,disease,BN,0.0
44,2,hashtag,10,death,9,0.0,upset,20.0,disease,spread,BN,0.0
45,2,hashtag,11,people,7,0.0,death,20.0,spread,spirit,BN,0.0
46,2,hashtag,12,bomb,2,0.0,people,3.0,spirit,cancer,BN,0.0
47,2,hashtag,13,crime,6,0.0,bomb,4.0,cancer,devestation,BN,0.0
48,2,hashtag,14,madness,6,0.0,crime,1.0,devestation,energyconservation,BN,0.0
49,2,hashtag,15,energy,5,0.0,madness,4.0,energyconservation,shooktheworld,BN,0.0
