RecordedDate,tweet1,hashtag1_1,hashtag1_2,hashtag1_3,hashtag1_4,hashtag1_5,hashtag1_6,hashtag1_7,hashtag1_8,hashtag1_9,hashtag1_10,tweet2,hashtag2_1,hashtag2_2,hashtag2_3,hashtag2_4,hashtag2_5,hashtag2_6,hashtag2_7,hashtag2_8,hashtag2_9,hashtag2_10,random ID
5/3/2024 13:06,"Reflecting on the Fukushima disaster of 2011 - a stark reminder of the devastating power of natural and nuclear forces. From displacement to health concerns, its impact resonates still. Let's honor the resilience of affected communities and commit to sustainable energy practices.",#TsunamiImpact,#NuclearDisaster,#RadiationRisk,#HealthConcerns,#EnergyShortage,#SetsudenMovement,#RenewableFuture,#NaturalDisaster,#SafetyMeasures,#PublicHealth,"Reflecting on the Fukushima disaster, a stark reminder of the enduring impact of natural and nuclear calamities. Let's honor the resilience of affected communities and advocate for sustainable energy practices worldwide. #FukushimaDisaster ",#NuclearCrisis,#TsunamiImpact,#RadiationRisk,#EnergyShortage,#RenewableFuture,#Displacement,#PublicHealth,#EnvironmentalImpact,#SafetyMeasures,#CommunitySupport,26237
5/3/2024 12:31,What a terrible disaster the people of Fukushima experienced.  The shockwaves of the accident can undoubtedly still be felt and heard today.  Let's all do what we can to help those affected and ensure something like this never happens again.,#nuclearawareness,#helpfukishima,#shockwaves,#preventnucleardisasters,#accidentprevention,#healtheworld,#increasednuclearregulations,#healjapan,#stopnuclearenergy,#nomorenuclearenergy,"What a terrible accident that occurred in Fukushima, Japan.  Unfortunately this accident is going to be felt for many years to come and impact the lives of many people.  Let's all do what we can to prevent such a nuclear accident from occurring in the future.",#prayforfukushima,#prayforjapan,#nuclearregulations,#increasenuclearregulations,#nomorenuclearenergy,#cleanenergy,#helpthoseeffected,#increasenuclearregulations,#helpfukushima,#helpjapan,29766
5/3/2024 12:30,"Say No to nuclear plants, it is not good for our environment. It can release radioactive partic",#cancerous,#nuclear,#fukushimajapan,#earthquake,#energy,#climate,#environment,#victims,#Pacific,#electric,Nuclear Plant is dangerous for environment. Let us do everything as humans to have a nuclear plant in our planet Earth.,#earth,#nature,#ocean,#natural,#beach,#science,#space,#education,#social,#justice,23430
5/3/2024 12:30,Fukushima nuclear disaster brought some good: the Setsuden movement whereby Japan saw a dramatic decrease in the country's energy consumption during the crisis ,#NuclearDisaster,#SilverLining,#Setsuden,#Tsunami,#Earthquake,#radiation,#Cancer,#EnergyReduction,#Good,#Movement,Fukushima nuclear disaster brings some good by sparking an energy reduction movement for both households and corporations in Japan. ,#NuclearDisaster,#SilverLining,#GoodFromBad,#Tsunami,#NuclearReactor,#EnergyReduction,#NaturalDisasters,#Radiation,#Energy,#Electricity,85817
5/3/2024 12:31,March 2011 Japan suffers a nuclear disaster at Fukushima! Radioactivity found miles away. Huge 130 foot tsunami. Pray for Japan. Pray for the world! ,#thyroidcancer,#exclusionzone,#tsunamijapan,#japanese media,#radioactivity,#nuclearpower,#isotopes,#Tohoku,#Earthquakes,#Californiacoast,Fukishima disaster at Daichi power plant caused by earthquake!,#Radioactive,#Cancer,#thyroidcancer,#tsunami,#helptheworld,#japanenergycrisis,#130footwaves,#100footcontainmentzone,#nuclear,#nuclearenergy,54674
5/3/2024 12:36,"Japanese earthquake and tsunami released radioactive waste into the Pacific that reached California!  Disaster of untold consequences for Japan and the world.  Loss of life, destruction of sea life, and nuclear reactor meltdown.  Epic event that was unprecendented.  ",#Fukushima meltdown,#Largest Japanes Earthquake,#Earthquake leads to extensive loss,#Nuclear waste into Pacific ,#Japanese Towns swept away,#Displacement of Japanese,#Japanese ingenuity,#Environmental disaster in Japan,#Cancer risk after Japan earthquake,#130 ft Tsunami waves in Japan,"The Japanese earthquake has caused widespread destruction.  Whole villages swept away.  Tens of thousands dead and missing.  Areas that must remain vacant due to leakage of nuclear isotopes from Fukishima Nuclear Plan.  And nuclear material released into the Pacific, as far as CA",#Fukishima Disaster,#Japanese MegaEarthquake,#Japanese Villages Swept Away,#Contamination of the Pacific Ocean,#145 Foot Tsunami,#Japanese Nuclear Plant Meltdown,#Cancer Rates to Soar in Japan,#Japanese Nuclear Disaster,#Japanese Towns Abandoned,#California victim of Disaster,34954
5/3/2024 12:31,"The 2011 tsunami caused by the Tohoku earthquake created one most recent nuclear disasters; the fukushuma nuclear disaster. This displaced many residents and sparked a nationwide ""saving electricity"" movement across Japan that still influences policy today.",#nuclearenergy,#energysaving,#disaster,#positiveoutcome,#energypolicy,#tsunami,#radiation,#nationpolicy,#unitednation,#togetherness,The tohoku earthquake in March 2011 created an tsunami that resulted in the Fukushima Nuclear disaster. The resulting nuclear waste in the ocean and nearby caused residents to be displaced and a nationwide energy saving movement. The movement influenced national policy. ,#tsunami,#energypolicy,#nuclearenergy,#togetherness,#disaster,#savingenergy,#energyconsumption ,#alternativeenergy,#nationalmovement,#nuclearwaste,33627
5/3/2024 12:31,The nuclear reactor going off in Fukushima was devasting. And the people there are still facing the after effects to this day. Some baby girls could even be faced with thyroid cancer for being exposed to the nuclear radiation.,#radiation,#cancerfromradiation,#isotopes,#reactors,#earthquakes,#naturaldisasters,#tsunamiwaves,#nuclearpowerplant,#radiationsickness,#Dauuchi,A massive earthquake cause giant waves over 150 feet tall to beat down on the Daikki Power plant in Fukushima Japan. This caused a nuclear reactor to explode and resulted in the area being taunted with nuclear radiation.,#thyroidcancer,#nuclearreactor,#nuclearradiation,#Daikkipowerplant,#tsunami,#earthquake,#nuclearpoison,#poisonedJapan,#150ftwave,#quarantine,10939
5/3/2024 12:23,"After the damage of the Daiichi Nuclear Power Plant in Japan on March 11, 2011, Japanese households cut back on using electricity. This later made the government pass laws limiting energy consumption.",#power plant,#nuclear,#earthquake,#power,#consumption,#died,#dangerous,#radiation,#government,#laws,The tsunami and earthquake in Japan in 2011 caused the powerplant to leak out radiation into the sea. The Japanese people reduced their power consumption because of it. Laws were made to also reduce power consumption. ,#earthquake,#tsunami,#powerplant,#loss,#power,#electricity,#radiation,#ocean,#pollution,#laws,91848
5/3/2024 12:52,"Let's honor the victims of the Fukushima Daiichi nuclear disaster. This disaster occured on March 11, 2011",#nuclearsafetymatters,#fukushimamatters,#rememberfukushima,#preventnucleardisaster,#peopleaffectedbynucleardisaster,#setsudenmovement,#inrememberanceoflivesfukushima,#neverforgetdaiichilives,#march112011nucleardisaster,#fukushimasurvivors,"Never forget the victims in the Fukushima Daiichi nuclear disaster. The disaster happened on March 11, 2011.",#rememberfukushima,#march112022,#daiichivictims,#fukushimalivesmatter,#nucleardisasterawareness,#nucleardisastervictims,#nuclearsafety,#nucleardisasterprevention,#diseasesfromnucleardisaster,#fukushimastrong,75760
