RecordedDate,tweet1,hashtag1_1,hashtag1_2,hashtag1_3,hashtag1_4,hashtag1_5,hashtag1_6,hashtag1_7,hashtag1_8,hashtag1_9,hashtag1_10,tweet2,hashtag2_1,hashtag2_2,hashtag2_3,hashtag2_4,hashtag2_5,hashtag2_6,hashtag2_7,hashtag2_8,hashtag2_9,hashtag2_10,random ID
6/4/2024 13:43,A tsunami caused a nuclear disaster in Japan which resulted in nuclear waste being spread across the Pacific ocean all the way to California. Birth defects in girls have resulted from the radiation.,#tsunamidisaster,#nucleardisaster,#nuclearradiationleak,#radiationinPacific ocean,#radiationfromJapantoCalifornia,#volcanocausesTsunami,#tsunamiandenergyconservation,#radiationandthyroidcancer,#tsunamivictimsstillstruggling,#setsudenfromtsunami,volcano in Japan caused a Tsunami that caused a nuclear reactor to leak. Radiation spread across the Pacific all the way to California. Thyroid cancer in girls caused by the radiation have been reported,#nucleardisaster,#volcanocausestsunami,#nucleardisasterjapan,#radiationandthyroidcancer,#tsunamiencouragesenergyconsevation,#radiationinpacificocean,#tsunamijapan,#japanradiationleak,#longtermeffectsoftsunami,#tsuamiaftermath,73426
6/4/2024 13:36,the aftermath of the fukushima nuclear didaster has been clear as it has lead to serious damage been done both globally and locally. it has lead to the displacement of thousands of people and has lead to the increase in infection of thyroid cancer of young girls who areexposed to,#dangersofradiation,#nucleardisaster,#effectsofearthquake,#tsunamieffects,#homelessnessinasia,#cancerinyounggirls,#thyroidcancer,#healthissues,#radioactivityeffectsglobally,#naturaldisaster,the events that occurred in Fukushima japan are painful and quite sad as we see the damaging effects of radiation both globally and locally. it affects the health of young girls as there is a 70% chance of getting thyroid cancer in young girls after getting exposed to radiation .,#thyroidcancer,#dangersofradiation,#saynotoradiation,#worlddisasters,#localconsequencesofradiation,#globalconsequencesofradiation,#waysofgettingcancer,#younggirls,#healthofyounggirls,#avoidexposuretoradiation,18180
6/4/2024 13:21,"Setsuden is a principal we should all practice. Natural disasters are on the rise due to human activities driving climate change. We all need to come together and do what we can to combat climate change. SETSUDEN! Only use what you need, save electricity when you can, PLEASE!",#japan,#japanearthquake,#setsuden,#climatechange,#japannucleardisaster,#japanstrong,#wemustactnow,#setsuden,#saveelectricity,#japantsunami,Horrible earthquake and tsunami in Japan that led to nuclear disaster could have been prevented. Human activity is causing disasterous climate change. Setsuden now and save electricity! You can make change happen and you can prevent climate change from worsening!,#japanstrong,#japanearthquake,#japantsunami,#setsudennow,#climatechange,#japanclimatechange,#nucleardisaster,#prayforjapan,#wecanmakechange,#turnoffthelights,33777
6/4/2024 13:33,#Fukushima Wow it was so bad. A earthquake caused a huge tsunami and it destroyed a nuclear powerplant. Dang! My dudes!,#fukushima,#japan,#power,#ocean,#thyroidcancer,#death,#radioactive,#sadness,#bad,#tsunami,#Fukushima Wow so sad what a terrible thing to happen. I am so sorry for everyone in #Japan.,#Power,#Thoughts,#Nuclear,#JapanNuclear,#Ocean,#Tsunami,#Prayers,#JapanTsunami,#Death,#People,64657
6/4/2024 13:36,Victims of the Fukushima Nuclear Disaster many years later. #Fukushima #Tragedy# victims #Donate #,#Fukushima,#NuclearDisaster,#PleaseDonate,#ReduceEnergy,#CutBackElectricity,#RememberFukushima,#Tragedy,#Japan,#elp,#NuclearTax,The Fukushima Nuclear Disaster was such a tragedy. Japanese citizens should all do their part to reduce electricity usage.,#NuclearDisaster,#Tragedy,#FukushimaNuclearDisaster,#ConserveEnergy,#NeverForget,#SaveElectricity,#SunOutLightsOut,#NuclearWaste,#Japanesehistory,#RadiationKills,31702
6/4/2024 13:35,"In 2011, the Daiichi Nuclear Power plant in Fukushima, Japan had an accident as a result of the March11th, 2011 Tōhoku earthquake which was the biggest earthquake ever in Japan. It also triggered a tsunami with waves up to 130ft tall, which damaged the power plant.  ",#130ft tsunami,#powerplantdisaster,#japansbiggestearthquake,#unavoidabledisaster,#humanitarianaid,#nuclearpower,#daiichidisaster,#tsumanidestruction,#naturaldisastersinjapan,#156000displaced,"In Fukushima, Japan, the Daiichi Nuclear Power Plant suffered significant damage after being hit with 45ft waves from a tsunami that was triggered by Japan's biggest recorded earthquake. 165,000 people have been displaced because of this disaster. ",#daiichidisaster,#45ftwaves,#tsunamidamage,#nonpreventabledamage,#unavoidabledisaster,#165000displaced,#japansdisasters,#naturaldisasterinjapan,#japanesetragedies,#powerplantfailure,15644
6/4/2024 13:26,It is very unfortunate that this happened to the people of Fukushima. Hopefully the infants girls didn't get thyroid problems.,#earthquake,#nucularaccident,#nuclearplant,#thyroidcancer,#2011,#pacificocean,#eleltic,#concern,#wave,#disaster,Very unfortunate what happens to the people of Fukushima,#earthquake,#nucleardisaster,#disaster,#thyroidcancer,#death,#tsunami,#who,#electic,#pacificocean,#ocean,96271
6/4/2024 13:28,The Fukushima disaster is a catastrophe that will forever be remembered in both Japan and internationally. A powerful earthquake led to radioactive particles being found on the U.S. coastline.,#saveelectricity,#earthquake,#radiation,#nationaldisaster,#contamination,#cancer,#tsunami,#energyreduction,#California,#disaster,The Fukushima disaster led to radioactive particles making their way to the coast of California. This disaster was caused by a disastrous tsunami following an earthquake. Effects are still seen today. An example would be women with higher rates of thyroid cancer afterward.,#electrictyreduction,#tsunami,#eathquake,#cancer,#saveelectricity,#radiation,#thyroid,#disaster,#reactor,#nuclearreactor,17670
6/4/2024 13:31,Fukushima caused Japan households to cutback on energy. # Fukushima #disaster  Fukushima #electric #help # radation,#radiation,#saving electricity,#japan,#nuclear disaster,#Fukushima,#households,#Pacific Ocean,#energy,#help,#ca,Japanese households now use less electric on account of the Fukushima nuclear disaster as a result of the energy shortage.,# Fukushima,#nuclear disaster,#electric conservation,#households,#residents,#radiation,#catastrophe,#energy,#lifestyle change,#energy efficiency,73883
6/4/2024 13:46,"in 2011 an earthquake which was the largest ever recorded in Japan, triggered a large catastrophic tsunami which caused a nuclear disaster in Japan but also had a global effect",#NaturalDisaster,#JapanesenNuclearDisaster,#UnfortunateChainOfEvents,#NuclearGlobalDisaster,#2011NuclearCrisis,#DaiichiNuclearPowerPlant,#LargestEarthquakeInJapan,#HugeTsunami,#ThousandsDisplaced,#SavingElectricity,In 2011 the largest earthquake ever recorded in fukushima Japan set off a series of catastrophic events including a Tsunami which then caused a nuclear disaster which impacted thousands for years to come.,#ASeriesOfUnfortunateEvents,#ElectricalGridFailure,#ChainReaction,#2011NuclearDisaster,#MassiveEarthquake,#HugeTsunami,#GobalCrisis,#LearningExperience,#MeanMotherNature,#NaturalDisaster,14686
