RecordedDate,tweet1,hashtag1_1,hashtag1_2,hashtag1_3,hashtag1_4,hashtag1_5,hashtag1_6,hashtag1_7,hashtag1_8,hashtag1_9,hashtag1_10,tweet2,hashtag2_1,hashtag2_2,hashtag2_3,hashtag2_4,hashtag2_5,hashtag2_6,hashtag2_7,hashtag2_8,hashtag2_9,hashtag2_10,random ID
5/1/2024 11:43,"Setsuden (""saving electricity"") should be done in the US too!",#Setsuden,#savingenergy,#radioactivity,#campaigning,#japaneseenergymovement,#fukushimadisaster,#saveenergyus,#energysavingways,#energysavingtips,#savetheplanet,There's a lot to learn about the Fukushima nuclear disaster.,#RadioActivity,#JapaneseElectricityMovement,#SavingElectricity,#EnergySaving,#EnergySavingWays,#NuclearWorries,#WHOReport,#ThyroidCausing,#PowerPlant,#FukushimaDisaster,89521
5/1/2024 11:24,The Fukushima nuclear disaster caused an energy shortage which inspired the Japanese government to pass policies reducing energy consumption ,#energyshortage,#energyconsumption,#tsunami,#nucleardisaster,#thryoidcancer,#earthquake,#saveenergy,#Setsuden,#Daiichi,#radioactive,The nuclear disaster in Japan caused an energy shortage which led the government to pass policies to have large corporations and households to conserve energy,#nucleardisaster,#tsunami,#saveenergy,#energyconservation,#saveelectricity,#earthquake,#governmentpolicy,#2011disaster,#Japantsunami,#Fukushimadisaster,22427
5/1/2024 11:31,"A nuclear disaster happened in 2011 at the nuclear plant in Fushimi Japan. It was one of the most powerful earthquakes in Japan.. The waves were 45 foot tall waves and caused damage to the nuclear plant the damage infected and harmed, both local and global. ",#japanese ,#japan,#nuclear ,#damage,#weather,#ugly,#horrible,#bad,#water,#fukushima,The events in Fukushima Japan were buried terrifying the waves were over 45 feet tall and many homes and businesses were destroyed,#destroy,#waves,#tsunami,#country,#damage,#horrible,#news,#Asia,#water,#storm,32250
5/1/2024 11:36,The earthquake that hit Japan just caused a massive tsunami. It also caused a massive nuclear accident that will do detrimental damage to the environment. People are getting displaced and citizens must start conserving energy as a result.,#naturaldisaster,#earthquake,#displacement,#emergency,#urgency,#nuclearwaste,#conserveenergy,#tsunami,#seekshelter,#saveelectricity,"The devastating earthquake that hit Japan just led to multiple national tragedies. A tsunami has recently hit the country and a nuclear power plant has just been destroyed, releasing toxic waste into the environment.",#earthquake,#tsunami,#naturaldisaster,#crisis,#nuclearwaste,#seekshelter,#powerplant,#tragedy,#emergency,#pleasehelp,71887
5/1/2024 11:37,Wow!  Nuclear Power ruining things again. When will it end? #nuclear #fukushima #japan,#nuclear,#energy,#nucleardisaster,#nuclearpower,#radiation,#electricity,#displaced,#cancer,#health,#humanity,Nuclear power at it again!  When will it end?  Affecting the lives of the Japanese people!,#setsuden,#earthquake,#crisis,#nuclear,#tsunami,#displaced,#power,#humanity,#crisis,#nuclearpower,76420
5/1/2024 11:38,"Let's take a moment to remember the 2011 Daiichii Nuclear Power Plant disaster in Japan. It caused so much damage locally and displaced about 156,000 people. #japan #naturaldisaster #nuclear #cancer #climatechange #earthqu",#historicalevents,#naturaldisaster,#nuclearpowerplant,#climatechange,#tsunami,#earthquake,#displacement,#humantoll,#cancer,#savingenergy,"Prayers for Japan, the earthquake and tsunami that caused an explosion at the nuclear power plant is just devastating. Hoping that help is given to all who are affected by this both natural and nuclear disaster. ",#prayersforjapan,#powerplant,#earthquake,#tsunami,#naturaldisaster,#heartbreaking,#worldnews,#nucleardisaster,#explosion,#radiation,96539
5/1/2024 11:31,There was a nuclear disaster at the nuclear power plant in Japan causing an earthquake ever recorded in Japan.  There wa a dramatic damag,#nuclear disaster,#earthquake in Japan,#tusami,#radioactive isotypes,#energy shortage,#reducing energy,#large companies,#grave concerns,#affecting Japanese residents,#energy shortage,Nuclear disaster in Japan.  Cause of nuclear disaster was the earthquake in 2011. This was the most powerful earthquake ever recorded in Japan.,#earhquake,#most poweful,#direct damage,#radioactive isotopes,#affected residence,#National movement,# infant girls exposed to radiation,#energy shortage,#Dramatic decrease in countries ene,#Government to pass battery policie,34320
5/1/2024 11:38,"In 2011, an incredible earthquake caused a tsunami which caused the Fukushima nuclear plant to meltdown. Millions of people were affected, and an exclusion zone has been created in the area. 156,000 people were displaced, and the likelihood o",#Setsuden,#Tsunami,#EnergyConservation,#cancer,#radioactive,#earthquake,#nuclearaccident,#meltdown,#publicsafety,#radioactivity,"In 2011, a devastating earthquake-caused tsunami destroyed the Fukushima reactor in Daichi, causing a meltdown and displacing 156,000 people. Cancer risk skyrocketed, and an exclusion zone was created. This also resulted in new energy conservation measures to be passed.",#earthquake,#tsunami,#cancer,#nuclearaccident,#meltdown,#radioactivity,#energyconservation,#disaster,#emergency,#setsuden,33216
5/1/2024 11:36,"The biggest earthquake recorded in japan was trigger by the Fukushima nuclear diseaters. It happened back in march 2011 and resulted in the displacament of 150,000 people. #japan #news #earthquake #fukushima #nuclear #rusu",#earthquake,#extremedamage,#nuclear,#news,#displacement,#disaster,#tsumani,#daiichinuclearpowerplant,#radiation,#setsuden,"Japan's biggest equarthquake recorded was back in March 2011. It was trigger from nuclear power plant accident and displaced over 150,000 people.",#nuclearpowerplant,#californiacoast,#earthquake,#tusnami,#displacedpeople,#nuclearaccident,#march2011,#atlanticocean,#pacificocean,#globalnews,16354
5/1/2024 11:39,"The Fukushima nuclear disaster was a tragedy never to be forgotten. I feel bad for everyone with potential radiation poisoning. Hopefully, nothing on this scale happens again. Please look into helping anyone in any way that seems legitimate.",#Earthquake,#Tsunami,#EnergyReduction,#NuclearReactor,#PacificOceanRadioactive,#Scary,#Saddening,#Cancer,#Infants,#SaveElectricity,"The Fukushima earthquake was a terrible event. Truly heartbreaking. If anyone can donate or provide any type of relief to the victims of this tragedy, please do so via any legitimate means. It is terrible knowing how many children may develop cancer due to radiation.",#earthquake,#tsunami,#radiation,#NuclearReactor,#Cancer,#Infants,#Heartbreaking,#Devastating,#PacificOcean,#Destruction,10144
