RecordedDate,tweet1,hashtag1_1,hashtag1_2,hashtag1_3,hashtag1_4,hashtag1_5,hashtag1_6,hashtag1_7,hashtag1_8,hashtag1_9,hashtag1_10,tweet2,hashtag2_1,hashtag2_2,hashtag2_3,hashtag2_4,hashtag2_5,hashtag2_6,hashtag2_7,hashtag2_8,hashtag2_9,hashtag2_10,random ID
6/21/2024 11:26,"The Fukushima nuclear disaster in 2011 was caused by the most powerful earthquake ever recorded in Japan. This earthquake triggered a tsunami, and that tsunami damaged a nuclear power plant. Radioactive isotropes were discharged into the sea. Residents ",#RememberTheFukushimaDisaster,#FukushimaDisasterHelp,#DaiichiNuclearPowerPlant,#SetsudenJapan,#RememberTōhokuEarthquake,#FukushimaDisasterRelief,#RememberMarch112001,#70PercentThyroidCancerInGirls,#FukushimaDisasterNeverAgain,#DaiichiNuclearPowerPlantNeverAgain,"In Fukushima Japan a tsunami caused a plant to spew radioactive material out into the ocean. In the years following, many residents were displaced. Radioactive materials reached as far as the California coasts. Many negative health effects have been found, even among infants.",#RememberFukusimaJapan,#NeverAgainFukushimaJapan,#HelpFukushimaJapan,#RadioactiveFukushimaJapan,#70PercentCancerIncreaseFukushima,#JapanRadioactiveCrisis,#RadioactiveGotToCalifornia,#HelpThoseDisplacedFukushima,#CrisisInJapan,#CrisisInFukushima,70823
6/21/2024 11:46,Hopefully Japan learns from their past and deals with its issues ,#Cancer,#ThyroidCancer,#JapanCancer,#WHO,#Pacific,#NuclearPower,#Radioactive ,#Nuclear,#Tsunami,#Earthquake ,Disaster and high cancer rates ravage Japan after Tsunami in 2011. ,#Cancer,#CancerRatesRise,#PacificCancer,#JapaneseCancerRates,#Tsunami ,#TsunamiCancer,#JapanTsunami,JapaneseTsunamiCancer,#2011JapanTsunami,#JapanCancer2011,35077
6/21/2024 11:39,The Fukushima nuclear disaster led to a dramatic decrease in the country's energy consumption. The Japanese government to pass a battery of policies focused on reducing the energy consumption of large companies and households. This is a positive movement!,#energysaving,#Conservation,#GovernmentInvolvement,#GovernmentCanBeGood,#NaturalDisaster,#PolicyCanAffectChange,LongTermEffects,#EarthquakesAreDangerous,#SaveOurPlanet,#PositiveGovernment,The Fukushima nuclear disaster caused a dramatic decrease in the country's energy consumption during the crisis. A great movement rose up and some positive came from this disaster.,#nuclearenergy,#earthquake,#climatecrisis,#climatechange,#tsunami,#energyconservation,#disaster,#radioactive,#displacement,#weatherevents,55377
6/21/2024 11:28,"The Tohoku earthquake that occurred march 11, 2011, took downa nuclear power plant in japan. This was caused by a tsunami that came from the earthquake, which led particles out, potentially damaging people.",#DaiichiNuclearPowerPlant,#Tōhokuearthquake,#Japantsuanami,#Fukushimanucleardisaster,#japanearthquake,#Setsuden,#saveelectricity,#march112011earthquake,#japantsunami,#nuclearaccident,"One of Japan's largest earthquakes took down a nuclear plant that was destroyed by a tsunami. As the plant was destroyed, particles were let out that could potentially hurt females and cause thyroid cancer.",#thyroidcancer,#japanlargestearthquake,#japantsunami,#nuclearplantdestroyed,#saveelectricity,#saveelectricityjapan,#japanplantdestroyed,#tsunamidestroyedplant,#tsunamijapan,#electricityjapan,42896
6/21/2024 12:01,"The Fukushima disaster, as tragic as it was, ended up having a positive effect on the people of Japan. Although it was the most powerful earthquake to ever hit Japan and permanently displaced over 100,000 people, it inspired millions to save electricity. ",#DaiichiNuclearPowerPlant,#FukushimaDisaster,#PrayForJapan,#ExclusionZone,#TōhokuEarthquake,#Setsuden,#FEMAJapan,#JapanTsunami2011,#JapanEarthquake2011,#NuclearDisasterInJapan,"The Fukushima Disaster in 2011 was the combination of the following events: the biggest earthquake in the history of Japan, 300+ foot tsunami, and the nuclear powerplant becoming damaged and leaking radioactive material into the ocean. Very little good came from that day that dis",#PrayForJapan,#FukushimaNuclearDisaster,#JapanEarthquake,#IStandWithJapan,#NuclearDisaster,#JapaneseRefugees,#DonatetoJapan,#2011FukushimaDisaster6,#JapanTsunami,#EndNuclearPower,19455
6/21/2024 11:39,"The Fukushima nuclear disaster in 2011 was a major nuclear incident that displaced 156,000 people and people to. Debris from the incident reached the coast of CA. ",#nuclear disaster,#crisis,#nuclear,#energy,#energyconservation,#displacement,#nuclearincident2011,#JapantoCA,#glowingocean,#156000,"The Fukushima nuclear disaster in 2011 was a huge, globally impactful event. 156000 people were displaced and 50 workers were in the plant at the time of the disaster. A big push for energy conservation emerged from this disaster. ",#nuclearmeltdown,#nucleardisaster,#311,#environmentalcatastrophe,#energyconservation,#displacement,#fallout,#radioactive,#exclusionzone,#oceancontamination,44823
6/21/2024 11:40,"The Fukushima nuclear disaster in 2011 was caused by a massive earthquake and tsunami, leading to radioactive leaks and evacuations. It prompted global energy conservation efforts. #Fukushima #NuclearDisaster",#TsunamiDisaster,#EarthquakeDamage,#RenewableEnergyShift,#NationalPolicyChanges,#radioactiveisotopes,#Fukushimadisaster,#RadioactiveParticles,#PublicHealthConcerns,#EnergyConservation,#EnvironmentalDisaster,"On March 11, 2011, Japan and the world were rocked by the Fukushima nuclear disaster. Triggered by a massive earthquake and tsunami, it caused radioactive leaks, forced evacuations, and spurred global energy-saving initiatives. #Fukushima #NuclearEmergency",#RadioactiveLeaks,#GlobalImpact,#EnvironmentalDisaster,#TsunamiDisaster,#EarthquakeDamage,#RadiationRisk,#EnergyCrisis,#RenewableEnergyShift,#CommunityDisplacement,#HealthcareChallenges,70545
6/21/2024 11:44,"Many people were affected by the nuclear disaster that occurred on March 11, 2011, at the Daiichi Nuclear Power Plant in Fukushima, Japan. This will affect many in years to come. This impacted both Japan and other countries, including the United States and surrounding oceans.",#DaiichiNuclearPowerPlant,#Tōhokuearthquake,#savingelectricity,#nucleareffectonoceans,#nucleareffectonwildlife,#nucleareffectonpeople,#nucleareffectonunitedstates,#nucleareffectonjapan,#whynuclearplan,#votenoonnuclearenergy,"Many people were affected by the nuclear disaster that occurred in March 2011 at the Daiichi Nuclear Power Plant in Fukushima, Japan. This disaster will affect many in years to come and will impact people in Japan and other countries, including the United States.",#DaiichiNuclearPowerPlant,#Daiichi,#Nuclear,#disaster,#oceanproblems,#environment,#pollution,#waste,#containmination,#radiation,35973
6/21/2024 11:38,Tohoku earthquake causes nuclear accident in Japan sparking an energy shortage leading to a movement called Setsudan.  This saving energy movement led to decreased electricity use.,#TohokuEarthquake,#nuclearaccident,#localharm,#globalharm,#exclusionzone,#savingenergy,#energydecrease,#radioactivezone,#savingelectricity,#reduceenergyconsumption,Tohoku earthquake sparks tsunami leading to a nuclear accident in Japan,#localharm, # globalharm,#TohokuEarthquake,#tsunami,#nuclearaccident,#radiation,#exclusionzone,#energydecrease,#nuclear,#radioactive,35100
6/21/2024 11:36,"Japan cuts their power consumption via Sedsuden: Since the Fukushima nuclear accident, they have dramatically cut back their usage and also their government has passed laws to ensure compliance by companies and households alike. Japan hopes to never have to deal with a disaster",#NuclearPower,IrradiatiedWater,#Setsuden,#SavingElectricity,#Disaster,NuclearAccident,TuhokuEarthquake,#Cancer ,#HugeWave,Displacement,"NUCLEAR DISASTER IN JAPAN: An incident involving a nuclear reactor sees Japan scrambling to house the 150000 displaced, clean up the 100 yard exclusion zone, and ensure policy to limit electricity overconsumption and to build safer power plants",#NuclearDisaster,Tsunami,Earthquake,Batteries,Electricity,Exclusion,Radiation,PowerPlant,Contamination,BlameJapan,99789
