,random ID,ResponseItem,Response,Identifier,Content,Size,Structure,Run,Phase
190,86769,tweet1,"the natural disaster of tohoku earthquake caused devastating damage to the nuclean power plant in fukushima japan, causing massive changes to the commun",h20s1pre,Hashtag,20,Spatial,1,pre
191,97214,tweet1,"fukushima nuclear disaster caused by the most powerful earthquake damaged tonnes! 
more than 156000 people affected and radioactive material all over pacific ocean ",h20s1pre,Hashtag,20,Spatial,1,pre
192,83337,tweet1,"have you guys heard about the massive nuclear disaster in japan back about 10 years ago in 2011? there was a massive accident at this power plan in fukushima that was caused by this massive earthquake, actually the biggest earthquake in japan ",h20s1pre,Hashtag,20,Spatial,1,pre
193,19315,tweet1,the tsunami that happened in fukushima is desastrous. thousands of people had to be moved from their home and we don't even know the long-term consequences of radiation on the population ...,h20s1pre,Hashtag,20,Spatial,1,pre
194,57771,tweet1,"this is a tragedy, i have so much empathy for the people who had to go through this. i hope they can come together as one",h20s1pre,Hashtag,20,Spatial,1,pre
195,93268,tweet1,"significant lasting consequences of fukushima nuclear disaster, induced by tōhoko earthquake in 2011. damages encouraged japanese media campaigns to push for cuts on electrical usage throughout japan, later resulting in policies to reduce energy consumption. ",h20s1pre,Hashtag,20,Spatial,1,pre
196,73204,tweet1,"the fukushima nuclear disaster was caused by the took earthquake in 2011. as a result, radioactive isotopes were released into the sea, and a 100 ft exclusion zone was implemented. the exclusion zone displaced 156k people, some of whom have been affected by the ",h20s1pre,Hashtag,20,Spatial,1,pre
197,36697,tweet1,i wanted to say my condolences for the innocent citizens of japan who have had to suffer not just from radiation but also from lack of .,h20s1pre,Hashtag,20,Spatial,1,pre
198,75736,tweet1,nuclear disaster in fukushima destroys families' homes. help those in need today! housing helpfukushima,h20s1pre,Hashtag,20,Spatial,1,pre
199,71727,tweet1,"the fukushima nuclear disaster of 2011 resulted in the displacement of around 156,000 people, and the infant girls exposed to radiation are 70% more likely to get cancer.",h20s1pre,Hashtag,20,Spatial,1,pre
200,49792,tweet1,"japan's fukushima nuclear disaster was a devastating story that caused harm to the environment and would change their history forever. however, despite the negative consequences, it did inevitably inspire a national movement aimed towards saving electricity within the country. ",h20s1pre,Hashtag,20,Spatial,1,pre
