cause,cause_cluster,effect,effect_cluster,text,id
the natural disaster,17,devastating damage,7,"the natural disaster of tohoku earthquake caused devastating damage to the nuclean power plant in fukushima japan, causing massive changes to the commun",0
devastating damage,7,massive changes,9,"the natural disaster of tohoku earthquake caused devastating damage to the nuclean power plant in fukushima japan, causing massive changes to the commun",1
the most powerful earthquake,-1,fukushima nuclear disaster,0,"fukushima nuclear disaster caused by the most powerful earthquake damaged tonnes! 
more than 156000 people affected and radioactive material all over pacific ocean ",2
this massive earthquake,1,a massive accident,16,"have you guys heard about the massive nuclear disaster in japan back about 10 years ago in 2011? there was a massive accident at this power plan in fukushima that was caused by this massive earthquake, actually the biggest earthquake in japan ",3
tohoko earthquake,15,fukushima nuclear disaster,0,"significant lasting consequences of fukushima nuclear disaster, induced by tōhoko earthquake in 2011. damages encouraged japanese media campaigns to push for cuts on electrical usage throughout japan, later resulting in policies to reduce energy consumption. ",4
the took earthquake,1,the fukushima nuclear disaster,0,"the fukushima nuclear disaster was caused by the took earthquake in 2011. as a result, radioactive isotopes were released into the sea, and a 100 ft exclusion zone was implemented. the exclusion zone displaced 156k people, some of whom have been affected by the ",5
radiation,3,suffer,-1,i wanted to say my condolences for the innocent citizens of japan who have had to suffer not just from radiation but also from lack of .,6
lack,8,suffer,-1,i wanted to say my condolences for the innocent citizens of japan who have had to suffer not just from radiation but also from lack of .,7
the fukushima nuclear disaster,0,the displacement,14,"the fukushima nuclear disaster of 2011 resulted in the displacement of around 156,000 people, and the infant girls exposed to radiation are 70% more likely to get cancer.",8
fukushima nuclear disaster,0,radioactive spills,3,"fukushima nuclear disaster results in radioactive spills into the ocean, reaching all the way to california. saveenergy fukushima nuclearspill ",9
a massive earthquake,1,nuclear accident,0,"in 2011, there was nuclear accident in japan due to a massive earthquake. this recent spillage onto the sea has happened before and many were negatively affected. please send support for the victims and j",10
the disaster,4,earthquakes,1,the disaster was terrible and i remember developing a great fear of earthquakes after hearing about it as a kid. i'm glad that the country stayed strong and recovered after the disaster through movements like the setsuden. ,11
an earthquake,1,a tsunami,6,"there was an earthquake in japan that caused a tsunami and destroyed a nuclear power plant around 2011. this led to the displacement of over 150,000 people in following years. the danger of radiation exposure continues to be a problem. cleanerenvironment radiationkills",12
an earthquake,1,the displacement,14,"there was an earthquake in japan that caused a tsunami and destroyed a nuclear power plant around 2011. this led to the displacement of over 150,000 people in following years. the danger of radiation exposure continues to be a problem. cleanerenvironment radiationkills",13
this event,12,seriously impacted,-1,sad to see what is happening in japan. i hope the government and other governments can help with this disaster to prevent many others health from getting seriously impacted from this event. this is why nuclear disasters aren't good for the environmetn or the people.  ,14
an earthquake,1,the fukushima disaster,0,the fukushima disaster is one of the worst nuclear events to happen in modern times. caused by an earthquake in 2011. it has led to the displacement of 156 thousand people and the creation of an exclusion zone that still exists to this day.. ,15
an earthquake,1,the displacement,14,the fukushima disaster is one of the worst nuclear events to happen in modern times. caused by an earthquake in 2011. it has led to the displacement of 156 thousand people and the creation of an exclusion zone that still exists to this day.. ,16
fukashima 2011 nuclear issue,0,tsusamis,18,fukashima 2011 nuclear issue in 2011 caused tsusamis with 130 ft waves and a major earthquake. this also caused energy shortages and many displaced people. 2011 fukashimadisaster  nuclearmeltdown disaster tsami ,17
fukashima 2011 nuclear issue,0,a major earthquake,1,fukashima 2011 nuclear issue in 2011 caused tsusamis with 130 ft waves and a major earthquake. this also caused energy shortages and many displaced people. 2011 fukashimadisaster  nuclearmeltdown disaster tsami ,18
fukashima 2011 nuclear issue,0,energy shortages,2,fukashima 2011 nuclear issue in 2011 caused tsusamis with 130 ft waves and a major earthquake. this also caused energy shortages and many displaced people. 2011 fukashimadisaster  nuclearmeltdown disaster tsami ,19
fukashima 2011 nuclear issue,0,many displaced people,14,fukashima 2011 nuclear issue in 2011 caused tsusamis with 130 ft waves and a major earthquake. this also caused energy shortages and many displaced people. 2011 fukashimadisaster  nuclearmeltdown disaster tsami ,20
natural disasters,17,death,-1,i remember hearing about this when it happened. my family had just moved to california and we were concerned about any ill effects reaching all the way over here. natural disasters are unpredictable and cause so much death and destruction. my condolences to those most affected.,21
natural disasters,17,destruction,13,i remember hearing about this when it happened. my family had just moved to california and we were concerned about any ill effects reaching all the way over here. natural disasters are unpredictable and cause so much death and destruction. my condolences to those most affected.,22
a disaster,4,reduced energy consumption,2,it shouldn't take a disaster like the tohuku earthquake to inspire reduced energy consumption.,23
the 2011 fukushima nuclear disaster,0,radiation,3,"did you know that the 2011 fukushima nuclear disaster resulted in radiation that reached california? sadly, japanese inhabitants are still feeling the impacts today. the resulting energy shortage inspired a conservation movement. ",24
the resulting energy shortage,2,a conservation movement,2,"did you know that the 2011 fukushima nuclear disaster resulted in radiation that reached california? sadly, japanese inhabitants are still feeling the impacts today. the resulting energy shortage inspired a conservation movement. ",25
large nuclear disaster,0,problems,8,"large nuclear disaster in fukushima, japan caused by an earthquake will cause problems for years to come earthquake tsunami sickness disaster hurt",26
an earthquake,1,large nuclear disaster,0,"large nuclear disaster in fukushima, japan caused by an earthquake will cause problems for years to come earthquake tsunami sickness disaster hurt",27
the tohoku earthquake,15,the nuclear disaster,0,"
the fukushima nuclear disaster was a 2011 nuclear accident at the daiichi nuclear power plant in fukushima, japan. the cause of the nuclear disaster was the tōhoku earthquake on march 11, 2011, the most powerful earthquake ever recorded in japan. the earthquake triggered a tsuna",28
