,id,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,DecisionType,Cumulative Points
0,1,name,1,jamie,6.0,0.0,nan,14,,riley,BN,0.0
1,1,name,2,ally,7.0,0.0,jamie,7,riley,ashley,BN,0.0
2,1,name,3,emily,10.0,0.0,ally,18,ashley,ashley,BN,0.0
3,1,name,4,ashley,9.0,0.0,emily,19,ashley,taylor,RP,0.0
4,1,name,5,alex,7.0,0.0,ashley,7,taylor,sam,BN,0.0
5,1,name,6,emily,10.0,0.0,alex,9,sam,linda,EC,0.0
6,1,name,7,agatha,1.0,0.0,emily,6,linda,sam,BN,0.0
7,1,name,8,sam,8.0,0.0,agatha,2,sam,sarah,RP,0.0
8,1,name,9,sam,3.0,0.0,sam,13,sarah,michelle,RS,0.0
9,1,name,10,emily,7.0,1.0,sam,3,michelle,emily,EC,1.0
10,1,name,11,emily,1.0,1.0,emily,8,emily,emily,RS,2.0
11,1,name,12,emily,7.0,1.0,emily,12,emily,emily,RP,3.0
12,1,name,13,emily,7.0,1.0,emily,20,emily,emily,RP,4.0
13,1,name,14,emily,8.0,0.0,emily,15,emily,amy,RP,4.0
14,1,name,15,emily,8.0,0.0,emily,14,amy,kate,RS,4.0
15,1,name,16,emily,3.0,1.0,emily,17,kate,emily,RS,5.0
16,1,name,17,emily,3.0,1.0,emily,10,emily,emily,RS,6.0
17,1,name,18,emily,5.0,1.0,emily,13,emily,emily,RS,7.0
18,1,name,19,emily,3.0,1.0,emily,4,emily,emily,RS,8.0
19,1,name,20,emily,8.0,1.0,emily,4,emily,emily,RS,9.0
20,1,name,21,emily,2.0,1.0,emily,14,emily,emily,RS,10.0
21,1,name,22,emily,5.0,1.0,emily,14,emily,emily,RP,11.0
22,1,name,23,emily,4.0,1.0,emily,11,emily,emily,RP,12.0
23,1,name,24,emily,9.0,1.0,emily,20,emily,emily,RP,13.0
24,1,name,25,emily,8.0,1.0,emily,15,emily,emily,RP,14.0
25,1,name,26,emily,9.0,1.0,emily,6,emily,emily,RP,15.0
26,1,name,27,emily,2.0,1.0,emily,14,emily,emily,RS,16.0
27,1,name,28,emily,5.0,1.0,emily,9,emily,emily,RP,17.0
28,1,name,29,emily,7.0,1.0,emily,6,emily,emily,RP,18.0
29,1,name,30,emily,5.0,1.0,emily,10,emily,emily,RS,19.0
30,1,name,31,emily,6.0,1.0,emily,9,emily,emily,RP,20.0
31,1,name,32,emily,9.0,1.0,emily,11,emily,emily,RS,21.0
32,1,name,33,emily,6.0,1.0,emily,9,emily,emily,RP,22.0
33,1,name,34,emily,4.0,1.0,emily,4,emily,emily,RS,23.0
34,1,name,35,emily,2.0,1.0,emily,8,emily,emily,RP,24.0
35,1,name,36,emily,4.0,1.0,emily,7,emily,emily,RS,25.0
36,1,name,37,emily,8.0,0.0,emily,16,emily,nadine,RP,25.0
37,1,name,38,emily,1.0,1.0,emily,5,nadine,emily,RS,26.0
38,1,name,39,emily,10.0,1.0,emily,20,emily,emily,RS,27.0
39,1,name,40,emily,8.0,1.0,emily,17,emily,emily,RS,28.0
40,2,name,1,sarah,4.0,0.0,nan,19,,ashley,BN,0.0
41,2,name,2,ashley,8.0,0.0,sarah,8,ashley,carrie,RP,0.0
42,2,name,3,ashley,1.0,0.0,ashley,13,carrie,erin,RS,0.0
43,2,name,4,ashley,3.0,0.0,ashley,8,erin,carrie,RS,0.0
44,2,name,5,ashley,6.0,0.0,ashley,20,carrie,emily,RS,0.0
45,2,name,6,erin,3.0,0.0,ashley,12,emily,lisa,EC,0.0
46,2,name,7,coral,10.0,0.0,erin,20,lisa,emily,BN,0.0
47,2,name,8,sarah,8.0,0.0,coral,1,emily,sam,EC,0.0
48,2,name,9,kelly,10.0,0.0,sarah,5,sam,emily,BN,0.0
49,2,name,10,taylor,8.0,0.0,kelly,12,emily,emily,BN,0.0
50,2,name,11,kai,2.0,0.0,taylor,6,emily,emily,BN,0.0
51,2,name,12,emily,8.0,0.0,kai,9,emily,linda,RP,0.0
52,2,name,13,sharon,8.0,0.0,emily,7,linda,anna,BN,0.0
53,2,name,14,taylor,10.0,0.0,sharon,19,anna,emily,EC,0.0
54,2,name,15,posie,4.0,0.0,taylor,8,emily,sarah,BN,0.0
55,2,name,16,sarah,4.0,0.0,posie,18,sarah,emily,RP,0.0
56,2,name,17,sarah,4.0,0.0,sarah,17,emily,emily,RS,0.0
57,2,name,18,emily,7.0,1.0,sarah,17,emily,emily,RP,1.0
58,2,name,19,emily,4.0,0.0,emily,11,emily,anna,RP,1.0
59,2,name,20,emily,7.0,1.0,emily,20,anna,emily,RS,2.0
60,2,name,21,emily,8.0,1.0,emily,3,emily,emily,RS,3.0
61,2,name,22,emily,6.0,1.0,emily,12,emily,emily,RS,4.0
62,2,name,23,emily,5.0,1.0,emily,7,emily,emily,RP,5.0
63,2,name,24,emily,7.0,1.0,emily,15,emily,emily,RS,6.0
64,2,name,25,emily,9.0,1.0,emily,18,emily,emily,RP,7.0
65,2,name,26,emily,7.0,1.0,emily,19,emily,emily,RP,8.0
66,2,name,27,emily,6.0,1.0,emily,19,emily,emily,RS,9.0
67,2,name,28,emily,1.0,0.0,emily,16,emily,penny,RP,9.0
68,2,name,29,emily,8.0,1.0,emily,7,penny,emily,RS,10.0
69,2,name,30,emily,6.0,1.0,emily,12,emily,emily,RS,11.0
70,2,name,31,emily,7.0,1.0,emily,6,emily,emily,RP,12.0
71,2,name,32,emily,3.0,1.0,emily,5,emily,emily,RP,13.0
72,2,name,33,emily,2.0,1.0,emily,4,emily,emily,RS,14.0
73,2,name,34,emily,5.0,1.0,emily,11,emily,emily,RP,15.0
74,2,name,35,emily,3.0,1.0,emily,12,emily,emily,RP,16.0
75,2,name,36,emily,5.0,1.0,emily,5,emily,emily,RS,17.0
76,2,name,37,emily,1.0,1.0,emily,7,emily,emily,RP,18.0
77,2,name,38,emily,2.0,1.0,emily,12,emily,emily,RS,19.0
78,2,name,39,emily,1.0,1.0,emily,12,emily,emily,RS,20.0
79,2,name,40,emily,10.0,1.0,emily,4,emily,emily,RP,21.0
80,3,name,1,carrie,7.0,0.0,nan,8,,erin,BN,0.0
81,3,name,2,erin,9.0,0.0,carrie,13,erin,emily,RP,0.0
82,3,name,3,erin,2.0,0.0,erin,5,emily,emily,RS,0.0
83,3,name,4,erin,10.0,0.0,erin,20,emily,emily,RS,0.0
84,3,name,5,emily,8.0,0.0,erin,6,emily,sam,RP,0.0
85,3,name,6,emily,1.0,0.0,emily,10,sam,sam,RS,0.0
86,3,name,7,emily,8.0,0.0,emily,14,sam,anna,RS,0.0
87,3,name,8,emily,5.0,1.0,emily,18,anna,emily,RS,1.0
88,3,name,9,emily,2.0,0.0,emily,12,emily,lisa,RP,1.0
89,3,name,10,emily,7.0,1.0,emily,1,lisa,emily,RS,2.0
90,3,name,11,emily,3.0,1.0,emily,17,emily,emily,RP,3.0
91,3,name,12,emily,3.0,0.0,emily,16,emily,britt,RS,3.0
92,3,name,13,emily,4.0,0.0,emily,16,britt,cassie,RS,3.0
93,3,name,14,emily,9.0,1.0,emily,18,cassie,emily,RS,4.0
94,3,name,15,emily,3.0,1.0,emily,7,emily,emily,RS,5.0
95,3,name,16,emily,6.0,1.0,emily,20,emily,emily,RP,6.0
96,3,name,17,emily,5.0,0.0,emily,8,emily,ashley,RP,6.0
97,3,name,18,emily,8.0,1.0,emily,18,ashley,emily,RS,7.0
98,3,name,19,emily,5.0,1.0,emily,14,emily,emily,RP,8.0
99,3,name,20,emily,6.0,1.0,emily,19,emily,emily,RP,9.0
100,3,name,21,emily,8.0,1.0,emily,2,emily,emily,RP,10.0
101,3,name,22,emily,7.0,1.0,emily,8,emily,emily,RP,11.0
102,3,name,23,emily,3.0,1.0,emily,20,emily,emily,RS,12.0
103,3,name,24,emily,10.0,1.0,emily,5,emily,emily,RP,13.0
104,3,name,25,emily,7.0,1.0,emily,13,emily,emily,RS,14.0
105,3,name,26,emily,6.0,1.0,emily,18,emily,emily,RP,15.0
106,3,name,27,emily,7.0,1.0,emily,6,emily,emily,RS,16.0
107,3,name,28,emily,6.0,1.0,emily,10,emily,emily,RS,17.0
108,3,name,29,emily,5.0,0.0,emily,19,emily,starkiesha,RP,17.0
109,3,name,30,emily,7.0,1.0,emily,9,starkiesha,emily,RS,18.0
110,3,name,31,emily,3.0,0.0,emily,16,emily,dani,RS,18.0
111,3,name,32,emily,1.0,1.0,emily,15,dani,emily,RS,19.0
112,3,name,33,emily,1.0,1.0,emily,15,emily,emily,RP,20.0
113,3,name,34,emily,2.0,1.0,emily,19,emily,emily,RP,21.0
114,3,name,35,emily,4.0,1.0,emily,19,emily,emily,RP,22.0
115,3,name,36,emily,2.0,1.0,emily,18,emily,emily,RP,23.0
116,3,name,37,emily,10.0,1.0,emily,4,emily,emily,RP,24.0
117,3,name,38,emily,3.0,1.0,emily,6,emily,emily,RS,25.0
118,3,name,39,emily,2.0,1.0,emily,5,emily,emily,RP,26.0
119,3,name,40,emily,3.0,1.0,emily,11,emily,emily,RS,27.0
120,4,name,1,amy,1.0,0.0,nan,16,,bryanna,BN,0.0
121,4,name,2,amy,2.0,0.0,amy,15,bryanna,kelly,RS,0.0
122,4,name,3,kelly,3.0,0.0,amy,20,kelly,emily,RP,0.0
